person,time,daily_income
a_jayson_adair,2021,82191
a_jayson_adair,2022,85479
a_jayson_adair,2023,98383
a_jayson_adair,2024,148684
a_jayson_adair,2025,144328
a_krishnamoorthy,2024,81780
a_krishnamoorthy,2025,101013
abdul_majeed_alhokair,2015,132410
abdul_majeed_alhokair,2017,110712
abdul_rasyid,2016,103397
abdulla_ahmed_al_ghurair,2001,240410
abdulla_ahmed_al_ghurair,2002,224630
abdulla_ahmed_al_ghurair,2003,237123
abdulla_ahmed_al_ghurair,2004,411863
abdulla_ahmed_al_ghurair,2005,419671
abdulla_ahmed_al_ghurair,2006,736191
abdulla_ahmed_al_ghurair,2007,835726
abdulla_ahmed_al_ghurair,2008,898767
abdulla_ahmed_al_ghurair,2009,778356
abdulla_ahmed_al_ghurair,2010,348986
abdulla_ahmed_al_ghurair,2011,265150
abdulla_ahmed_al_ghurair,2012,280191
abdulla_ahmed_al_ghurair,2013,294986
abdulla_ahmed_al_ghurair,2014,452465
abdulla_ahmed_al_ghurair,2015,605589
abdulla_ahmed_al_ghurair,2016,460602
abdulla_ahmed_al_ghurair,2017,627616
abdulla_ahmed_al_ghurair,2018,520684
abdulla_ahmed_al_ghurair,2019,396821
abdulla_ahmed_al_ghurair,2020,316109
abdulla_ahmed_al_ghurair,2021,230136
abdulla_ahmed_al_ghurair,2022,202027
abdulla_ahmed_al_ghurair,2023,227095
abdulla_ahmed_al_ghurair,2024,289972
abdulla_ahmed_al_ghurair,2025,332054
abdulla_al_futtaim,2006,149342
abdulla_al_futtaim,2007,313397
abdulla_al_futtaim,2008,201945
abdulla_al_futtaim,2009,179589
abdulla_al_futtaim,2010,109643
abdulla_al_futtaim,2011,127643
abdulla_al_futtaim,2012,154602
abdulla_al_futtaim,2013,156986
abdulla_al_futtaim,2014,235643
abdulla_al_futtaim,2015,302794
abdulla_al_futtaim,2016,291369
abdulla_al_futtaim,2017,378410
abdulla_al_futtaim,2018,291205
abdulla_al_futtaim,2019,215671
abdulla_al_futtaim,2020,179424
abdulla_al_futtaim,2021,180821
abdulla_al_futtaim,2022,194219
abdulla_al_futtaim,2023,181643
abdulla_al_futtaim,2024,245342
abdulla_al_futtaim,2025,339205
abdullah_al_othaim,2025,180410
abdullah_al_rajhi,2006,405452
abdullah_al_rajhi,2007,271561
abdullah_al_rajhi,2008,323095
abdullah_al_rajhi,2009,179589
abdullah_al_rajhi,2010,229315
abdullah_al_rajhi,2011,245506
abdullah_al_rajhi,2012,212547
abdullah_al_rajhi,2013,209342
abdullah_al_rajhi,2014,226191
abdullah_al_rajhi,2015,170301
abdullah_al_rajhi,2016,131589
abdullah_al_rajhi,2017,175315
abdullah_al_rajhi,2018,326465
abdullah_al_rajhi,2019,112109
abdullah_amer_al_nahdi,2025,166027
abdullah_bin_sulaiman_al_rajhi,2020,162328
abdullah_bin_sulaiman_al_rajhi,2021,106849
abdullah_bin_sulaiman_al_rajhi,2022,186493
abdullah_bin_sulaiman_al_rajhi,2023,98383
abdullah_bin_sulaiman_al_rajhi,2024,170958
abdullah_bin_sulaiman_al_rajhi,2025,180410
abdulsamad_rabiu,2014,113095
abdulsamad_rabiu,2015,94602
abdulsamad_rabiu,2016,103397
abdulsamad_rabiu,2017,110712
abdulsamad_rabiu,2018,123534
abdulsamad_rabiu,2019,138000
abdulsamad_rabiu,2020,247726
abdulsamad_rabiu,2021,402739
abdulsamad_rabiu,2022,536219
abdulsamad_rabiu,2023,620794
abdulsamad_rabiu,2024,386630
abdulsamad_rabiu,2025,368136
abel_avellan,2025,187643
abhay_firodia,2015,108821
abhay_firodia,2016,112767
abhay_firodia,2017,175315
abhay_firodia,2018,211808
abhay_firodia,2019,163890
abhay_firodia,2020,128136
abhay_firodia,2021,197260
abhay_firodia,2022,217561
abhay_firodia,2023,204410
abhay_firodia,2024,319726
abhay_firodia,2025,310356
abhay_soi,2022,101013
abhay_soi,2023,90821
abhay_soi,2024,148684
abhay_soi,2025,180410
abhay_vakil,2017,203013
abhay_vakil,2018,264739
abhay_vakil,2019,138000
abhay_vakil,2020,264821
abhay_vakil,2021,378082
abhay_vakil,2022,318575
abigail_bennett,2023,83260
abigail_bennett,2024,81780
abigail_bennett,2025,79397
abigail_johnson,2001,1151671
abigail_johnson,2002,1073506
abigail_johnson,2003,972328
abigail_johnson,2004,1090931
abigail_johnson,2005,1291315
abigail_johnson,2006,1333808
abigail_johnson,2007,1358136
abigail_johnson,2008,1514794
abigail_johnson,2009,997890
abigail_johnson,2010,1146904
abigail_johnson,2011,1109671
abigail_johnson,2012,995342
abigail_johnson,2013,1208547
abigail_johnson,2014,1631013
abigail_johnson,2015,1268054
abigail_johnson,2016,1231479
abigail_johnson,2017,1329123
abigail_johnson,2018,1403178
abigail_johnson,2019,1345890
abigail_johnson,2020,922849
abigail_johnson,2021,1717808
abigail_johnson,2022,1647616
abigail_johnson,2023,1635369
abigail_johnson,2024,2156301
abigail_johnson,2025,2360465
abilio_diniz,2001,202438
abilio_diniz,2002,137260
abilio_diniz,2004,144657
abilio_diniz,2005,139890
abilio_diniz,2006,170712
abilio_diniz,2007,198493
abilio_diniz,2008,201945
abilio_diniz,2009,149671
abilio_diniz,2010,299178
abilio_diniz,2011,333863
abilio_diniz,2012,347835
abilio_diniz,2013,352027
abilio_diniz,2014,263917
abilio_diniz,2015,416383
abilio_diniz,2016,319561
abilio_diniz,2017,304520
abilio_diniz,2018,308876
abilio_diniz,2019,267452
abilio_diniz,2020,196520
abilio_diniz,2021,213698
abilio_diniz,2022,209835
abilio_diniz,2023,181643
achal_bakeri,2015,99287
achal_bakeri,2016,103397
achal_bakeri,2017,119917
achal_bakeri,2018,141205
achal_bakeri,2019,94849
achal_bakeri,2020,85397
achal_bakeri,2021,106849
acharya_balakrishna,2017,230712
acharya_balakrishna,2018,555945
acharya_balakrishna,2019,422712
acharya_balakrishna,2020,93945
acharya_balakrishna,2021,180821
acharya_balakrishna,2022,147616
acharya_balakrishna,2023,257424
acharya_balakrishna,2024,282493
acharya_balakrishna,2025,245424
achmad_hamami,2012,212547
achmad_hamami,2013,152219
achmad_hamami,2014,150821
achmad_hamami,2015,122958
achmad_hamami,2016,93945
adam_bowen,2019,94849
adam_foroughi,2022,101013
adam_foroughi,2024,163561
adam_foroughi,2025,714657
adam_forste,2025,216493
adam_kwok,2017,553808
adam_kwok,2018,785424
adam_kwok,2019,215671
adam_kwok,2020,179424
adam_kwok,2021,213698
adam_kwok,2022,178684
adam_kwok,2023,196849
adam_kwok,2024,163561
adam_kwok,2025,166027
adam_neumann,2016,140958
adam_neumann,2017,230712
adam_neumann,2018,220602
adam_neumann,2019,353671
adam_neumann,2020,111041
adam_neumann,2022,108739
adam_neumann,2023,166520
adam_neumann,2024,170958
adam_neumann,2025,166027
adderley,2014,164958
adderley,2015,170301
adderley,2017,92301
adderley,2018,88191
adderley,2019,94849
adderley,2020,145232
adderley,2021,189041
adderley,2022,163150
adderley,2023,105945
adderley,2024,126328
adderley,2025,115479
adebayo_ogunlesi,2025,158794
adi_godrej,2003,130356
adi_godrej,2004,222575
adi_godrej,2005,204410
adi_godrej,2006,277397
adi_godrej,2007,428301
adi_godrej,2008,555369
adi_godrej,2009,329260
adi_godrej,2010,518547
adi_godrej,2011,716876
adi_godrej,2012,231863
adi_godrej,2013,342575
adi_godrej,2014,329917
adi_godrej,2015,454191
adi_godrej,2016,206794
adi_godrej,2017,230712
adi_godrej,2018,255863
adi_godrej,2019,232931
adi_godrej,2020,162328
adi_godrej,2021,197260
adi_godrej,2022,194219
adi_godrej,2023,211972
adi_godrej,2024,282493
adi_godrej,2025,288739
adriaan_mol,2023,136273
adriaan_mol,2024,133808
adriaan_mol,2025,129863
adrian_paval,2022,77671
adrian_paval,2023,83260
adrian_paval,2024,104054
adrian_paval,2025,93780
aerin_lauder,2014,103643
aerin_lauder,2015,132410
aerin_lauder,2016,197342
aerin_lauder,2017,147616
aerin_lauder,2018,220602
aerin_lauder,2019,215671
aerin_lauder,2020,179424
aerin_lauder,2021,312328
aerin_lauder,2022,271972
aerin_lauder,2023,234657
aerin_lauder,2024,156082
aerin_lauder,2025,93780
agnete_kirk_thinggaard,2017,212219
agnete_kirk_thinggaard,2018,476547
agnete_kirk_thinggaard,2019,405452
agnete_kirk_thinggaard,2020,521178
agnete_kirk_thinggaard,2021,715068
agnete_kirk_thinggaard,2022,637232
agnete_kirk_thinggaard,2023,507205
agnete_kirk_thinggaard,2024,483287
agnete_kirk_thinggaard,2025,519698
agoes_projosasmito,2024,438657
agoes_projosasmito,2025,324821
agustin_coppel_luken,2024,118931
agustin_coppel_luken,2025,101013
ahammed_m_p,2024,74301
ahammed_m_p,2025,93780
ahmed_afif_topbas,2025,79397
ahmet_ahlatci,2025,425835
ahmet_calik,2008,151479
ahmet_calik,2009,99780
ahmet_calik,2010,99698
ahmet_calik,2011,127643
ahmet_calik,2012,125589
ahmet_calik,2013,161753
ahmet_calik,2014,103643
ahmet_calik,2015,132410
ahmet_calik,2016,122136
ahmet_calik,2017,129205
ahmet_calik,2018,141205
ahmet_calik,2019,163890
ahmet_calik,2020,128136
ahmet_calik,2021,123287
ahmet_calik,2022,116547
ahmet_calik,2023,113506
ahmet_calik,2024,111534
ahmet_calik,2025,108246
ahmet_nazif_zorlu,2005,107589
ahmet_nazif_zorlu,2006,117369
ahmet_nazif_zorlu,2007,187972
ahmet_nazif_zorlu,2008,232191
ahmet_nazif_zorlu,2009,129698
ahmet_nazif_zorlu,2010,149589
ahmet_nazif_zorlu,2011,176712
ahmet_nazif_zorlu,2012,135287
ahmet_nazif_zorlu,2013,133150
ahmet_nazif_zorlu,2014,113095
ahmet_nazif_zorlu,2015,132410
ahmet_nazif_zorlu,2016,122136
ahmet_nazif_zorlu,2017,119917
ahmet_nazif_zorlu,2018,123534
ahmet_nazif_zorlu,2019,319150
ahmet_nazif_zorlu,2020,256273
ahmet_nazif_zorlu,2021,90410
ahmet_nazif_zorlu,2022,209835
ahmet_nazif_zorlu,2023,75698
ahmet_nazif_zorlu,2024,178438
ahmet_nazif_zorlu,2025,101013
ahsen_ozokur,2008,121150
ahsen_ozokur,2010,109643
ahsen_ozokur,2011,137424
ahsen_ozokur,2012,125589
ahsen_ozokur,2013,114164
ahsen_ozokur,2014,146054
ahsen_ozokur,2015,160849
ahsen_ozokur,2017,101506
ai_lihua,2017,92301
ai_lihua,2018,114657
ai_lihua,2020,85397
ai_lihua,2021,90410
ai_lihua,2022,124273
ai_lihua,2023,83260
ai_luming,2018,97068
ai_luming,2021,106849
ai_luming,2022,108739
aidan_barclay,2022,116547
aidan_barclay,2023,90821
airat_shaimiev,2013,104630
airat_shaimiev,2014,103643
airat_shaimiev,2015,108821
airat_shaimiev,2017,101506
airat_shaimiev,2018,105863
airat_shaimiev,2019,112109
airat_shaimiev,2020,93945
airat_shaimiev,2021,115068
airat_shaimiev,2022,93205
airat_shaimiev,2023,105945
airat_shaimiev,2024,178438
airat_shaimiev,2025,158794
