country,time,dollar_billionaires_per_million_people
usa,1997,0.19746367923476302
usa,1998,0.3549190088764991
usa,1999,0.07532673401316692
usa,2000,0.06749936464446729
usa,2001,0.65076767597837
usa,2002,0.6165435607984995
usa,2003,0.5760446155178142
usa,2004,0.7240777113944622
usa,2005,0.882601597318168
usa,2006,0.9808181133766757
usa,2007,1.0932791538639537
usa,2008,1.2558598609655582
usa,2009,1.0875795191881719
usa,2010,1.2987731512341931
usa,2011,1.3148466195761408
usa,2012,1.3433597373422677
usa,2013,1.3838960033205256
usa,2014,1.5226759078073835
usa,2015,1.6435340425589522
usa,2016,1.6495563071746888
usa,2017,1.854278624508157
usa,2018,1.963847905924952
usa,2019,2.048609676849971
usa,2020,2.1388410773290656
usa,2021,2.4135598602429487
usa,2022,2.491698880292596
usa,2023,2.451399012979998
usa,2024,2.5909992893974563
usa,2025,2.810446280238577
