person,time,forbes_rank
a_jayson_adair,2021,2674
a_jayson_adair,2022,2448
a_jayson_adair,2023,2133
a_jayson_adair,2024,1623
a_jayson_adair,2025,1763
abel_avellan,2025,1408
abigail_bennett,2023,2405
abigail_bennett,2024,2545
abigail_bennett,2025,2790
abigail_johnson,2001,30
abigail_johnson,2002,29
abigail_johnson,2003,25
abigail_johnson,2004,31
abigail_johnson,2005,25
abigail_johnson,2006,28
abigail_johnson,2007,42
abigail_johnson,2008,43
abigail_johnson,2009,35
abigail_johnson,2010,48
abigail_johnson,2011,69
abigail_johnson,2012,85
abigail_johnson,2013,74
abigail_johnson,2014,50
abigail_johnson,2015,85
abigail_johnson,2016,65
abigail_johnson,2017,75
abigail_johnson,2018,83
abigail_johnson,2019,71
abigail_johnson,2020,124
abigail_johnson,2021,85
abigail_johnson,2022,75
abigail_johnson,2023,72
abigail_johnson,2024,58
abigail_johnson,2025,55
adam_bowen,2019,1941
adam_foroughi,2022,2190
adam_foroughi,2024,1496
adam_foroughi,2025,274
adam_forste,2025,1219
adebayo_ogunlesi,2025,1626
aerin_lauder,2014,1465
aerin_lauder,2015,1324
aerin_lauder,2016,854
aerin_lauder,2017,1290
aerin_lauder,2018,965
aerin_lauder,2019,916
aerin_lauder,2020,1001
aerin_lauder,2021,775
aerin_lauder,2022,851
aerin_lauder,2023,949
aerin_lauder,2024,1545
aerin_lauder,2025,2479
alan_auerbach,2015,1533
alan_b_miller,2021,2263
alan_b_miller,2022,1929
alan_b_miller,2023,2259
alan_b_miller,2024,1851
alan_b_miller,2025,2019
alan_casden,2006,645
alan_casden,2007,618
alan_casden,2008,605
alan_casden,2009,430
alan_casden,2010,536
alan_casden,2011,651
alan_casden,2012,1015
alan_gerry,2001,182
alan_gerry,2002,351
alan_gerry,2004,514
alan_gerry,2005,548
alan_gerry,2006,606
alan_gerry,2007,717
alan_gerry,2008,743
alan_gerry,2009,647
alan_gerry,2010,880
alan_gerry,2011,993
alan_gerry,2012,1015
alan_gerry,2013,1107
alan_gerry,2014,1210
alan_gerry,2015,1324
alan_gerry,2016,1275
alan_gerry,2017,1376
alan_gerry,2018,1650
alan_gerry,2019,1605
alan_gerry,2020,1415
alan_gerry,2021,2035
alan_gerry,2022,1929
alan_gerry,2023,1905
alan_gerry,2024,2046
alan_gerry,2025,2233
alan_trefler,2017,1290
alan_trefler,2018,1284
alan_trefler,2019,1008
alan_trefler,2020,836
alan_trefler,2021,589
alan_trefler,2022,1053
alan_trefler,2023,1647
alan_trefler,2024,1286
alan_trefler,2025,1172
albert_chao,2024,624
albert_chao,2025,902
albert_nahmad,2024,2287
albert_nahmad,2025,2019
albert_ueltschi,2001,452
albert_ueltschi,2002,378
albert_ueltschi,2003,427
albert_ueltschi,2004,406
albert_ueltschi,2005,437
albert_ueltschi,2006,562
albert_ueltschi,2007,557
albert_ueltschi,2008,524
albert_ueltschi,2009,522
albert_ueltschi,2010,536
albert_ueltschi,2011,595
albert_ueltschi,2012,683
alec_gores,2003,256
alec_gores,2004,356
alec_gores,2005,507
alec_gores,2006,606
alec_gores,2007,799
alec_gores,2008,785
alec_gores,2009,559
alec_gores,2010,616
alec_gores,2011,782
alec_gores,2012,683
alec_gores,2013,792
alec_gores,2014,869
alec_gores,2015,894
alec_gores,2016,854
alec_gores,2017,973
alec_gores,2018,1157
alec_gores,2019,1057
alec_gores,2020,1063
alec_gores,2021,1008
alec_gores,2022,1196
alec_gores,2023,1217
alec_gores,2024,1496
alec_gores,2025,1688
alejandro_santo_domingo,2012,97
alejandro_santo_domingo,2013,82
alejandro_santo_domingo,2014,102
alejandro_santo_domingo,2015,369
alejandro_santo_domingo,2016,286
alejandro_santo_domingo,2017,348
alejandro_santo_domingo,2018,499
alejandro_santo_domingo,2019,645
alejandro_santo_domingo,2020,1001
alejandro_santo_domingo,2021,1064
alejandro_santo_domingo,2022,1196
alejandro_santo_domingo,2023,1164
alejandro_santo_domingo,2024,1187
alejandro_santo_domingo,2025,1108
alex_atallah,2022,1397
alexander_karp,2015,1533
alexander_karp,2016,1121
alexander_karp,2017,1290
alexander_karp,2018,1756
alexander_karp,2019,1717
alexander_karp,2020,1613
alexander_karp,2021,1517
alexander_karp,2022,2448
alexander_karp,2023,2133
alexander_karp,2024,1143
alexander_karp,2025,361
alexander_knaster,2007,840
alexander_knaster,2008,677
alexander_knaster,2010,880
alexander_knaster,2011,938
alexander_knaster,2012,913
alexander_knaster,2013,882
alexander_knaster,2014,828
alexander_rovt,2009,701
alexander_rovt,2010,721
alexander_rovt,2011,736
alexander_rovt,2012,1015
alexander_rovt,2013,1175
alexander_rovt,2014,1465
alexander_rovt,2015,1533
alexander_rovt,2016,1367
alexander_rovt,2017,1567
alexander_rovt,2018,1756
alexander_rovt,2019,1717
alexander_rovt,2020,1613
alexander_spanos,2005,584
alexander_spanos,2006,606
alexander_spanos,2007,840
alexander_spanos,2008,1014
alexander_spanos,2009,701
alexander_spanos,2010,880
alexander_spanos,2011,1057
alexander_spanos,2012,1075
alexander_spanos,2013,1342
alexander_spanos,2014,1465
alexander_spanos,2015,1500
alexander_spanos,2016,1067
alexander_spanos,2017,867
alexander_spanos,2018,1020
alexandr_wang,2025,1763
alexandra_daitch,2015,1190
alexandra_daitch,2016,1198
alexandra_daitch,2017,1098
alexandra_daitch,2018,1215
alexandra_daitch,2019,1227
alexandra_daitch,2020,1613
alexandra_daitch,2021,1833
alexandra_daitch,2022,1292
alexandra_daitch,2023,1575
alexandra_daitch,2024,1623
alexandra_daitch,2025,1763
alexis_le_quoc,2021,1664
alexis_le_quoc,2022,1096
