listed_company,time,gross_margin_pct
AAON,2009,27.5
AAON,2010,22.6
AAON,2011,17.4
AAON,2012,6.2
AAON,2013,6.3
AAON,2014,7.1
AAON,2015,8.2
AAON,2016,6.9
AAON,2017,7.7
AAPL,2016,39.1
AAPL,2017,8.7
AAPL,2018,9.1
ABBV,2016,20.4
ABBV,2017,19.3
ABBV,2018,19.2
ABBV,2019,20.1
ABBV,2020,20.0
ABBV,2021,18.8
ABBV,2022,18.9
ABBV,2023,15.8
ABBV,2024,19.0
ABBV,2025,19.7
ADBE,2007,88.8
ADBE,2008,89.9
ADBE,2009,89.9
ADBE,2010,23.7
ADBE,2011,24.6
ADBE,2012,23.4
ADBE,2013,22.1
ADBE,2014,22.0
ADBE,2015,23.0
ADBE,2016,23.8
ADBE,2017,23.8
ADBE,2018,23.3
ADBE,2019,22.7
ADBE,2020,23.3
ADBE,2021,88.2
ADBE,2022,87.7
ADBE,2023,87.9
ADBE,2024,89.0
ADBE,2025,89.3
AI,2019,66.8
AI,2020,75.2
AI,2021,75.7
AI,2022,74.8
AI,2023,67.6
AI,2024,57.5
AI,2025,60.6
ALAB,2022,73.5
ALAB,2023,68.9
ALAB,2024,76.4
ALAB,2025,75.7
ALIT,2022,31.8
ALIT,2023,33.4
ALIT,2024,34.0
ALIT,2025,33.8
AMD,2016,23.2
AMD,2017,34.0
AMD,2018,8.3
AMD,2019,14.1
AMD,2020,14.9
AMD,2021,48.2
AMD,2022,44.9
AMD,2023,46.1
AMD,2024,49.4
AMD,2025,49.5
AMS,2016,47.0
AMS,2017,44.3
AMS,2018,38.0
AN,2008,16.8
AN,2009,17.9
AN,2010,17.1
AN,2011,16.7
AN,2012,15.9
AN,2013,15.8
AN,2014,15.6
AN,2015,15.6
AN,2016,15.3
AN,2017,15.6
AN,2018,15.9
AN,2019,16.5
AN,2020,17.5
AN,2021,19.2
AN,2022,19.5
AN,2023,19.0
AN,2024,17.9
AN,2025,17.9
ANET,2016,64.0
ANET,2017,64.5
ANET,2018,17.4
ANET,2019,14.8
ANET,2020,17.9
ANET,2021,63.8
ANET,2022,61.1
ANET,2023,61.9
ANET,2024,64.1
ANET,2025,64.1
APH,2016,32.5
APH,2017,32.9
APH,2018,8.7
APH,2019,8.3
APH,2020,8.9
APH,2021,31.3
APH,2022,31.9
APH,2023,32.5
APH,2024,33.8
APH,2025,36.9
ARRY,2018,4.0
ARRY,2019,23.3
ARRY,2020,23.2
ARRY,2021,9.7
ARRY,2022,13.9
ARRY,2023,26.4
ARRY,2024,32.5
ARRY,2025,23.2
AVGO,2016,44.9
AVGO,2017,13.5
AVGO,2018,14.1
AXON,2016,63.6
AXON,2017,60.2
AXON,2018,15.6
AXON,2019,17.5
AXON,2020,61.1
AXON,2021,62.7
AXON,2022,61.2
AXON,2023,61.1
AXON,2024,59.6
AXON,2025,59.7
BBWI,2018,39.3
BBWI,2019,37.0
BBWI,2020,13.9
BBWI,2021,21.9
BBWI,2022,18.3
BBWI,2023,43.1
BBWI,2024,43.6
BBWI,2025,44.3
BBWI,2026,43.7
BBY,2017,24.0
BBY,2018,23.4
BBY,2019,7.7
BBY,2020,23.0
BBY,2021,22.4
BBY,2022,22.5
BBY,2023,21.4
BBY,2024,22.1
BBY,2025,22.6
BFS,2010,74.3
BFS,2011,73.9
BFS,2012,75.1
BFS,2013,75.8
BFS,2014,76.1
BFS,2015,75.5
BFS,2016,75.3
BFS,2017,75.5
BFS,2018,75.3
BFS,2019,75.0
BFS,2020,74.1
BFS,2021,74.2
BFS,2022,73.8
BFS,2023,73.9
BKE,2017,40.7
BKE,2018,14.6
BKE,2019,13.7
BKE,2020,14.3
BKE,2021,44.5
BKE,2022,50.4
BKE,2023,50.3
BKE,2024,49.1
BKE,2025,48.7
BRKR,2009,46.4
BRKR,2010,46.3
BRKR,2011,13.2
BRKR,2012,13.5
BRKR,2013,12.8
BRKR,2014,11.9
BRKR,2015,13.0
BRKR,2016,13.7
