person,time,gross_margin_pct
a_jayson_adair,2014,10.1
a_jayson_adair,2015,10.4
a_jayson_adair,2016,11.2
a_jayson_adair,2017,11.6
a_jayson_adair,2018,10.4
abigail_bennett,2017,48.1
abigail_bennett,2018,11.1
abigail_bennett,2019,50.3
abigail_bennett,2020,11.4
abigail_bennett,2021,11.5
abigail_bennett,2022,12.8
abigail_bennett,2023,10.2
abigail_bennett,2024,10.4
abigail_bennett,2025,10.9
aerin_lauder,2017,79.4
aerin_lauder,2018,19.0
aerin_lauder,2019,18.5
aerin_lauder,2020,11.6
aerin_lauder,2021,76.4
aerin_lauder,2022,75.7
aerin_lauder,2023,71.3
aerin_lauder,2024,71.7
aerin_lauder,2025,74.0
alan_trefler,2009,65.6
alan_trefler,2010,61.8
alan_trefler,2011,17.5
alan_trefler,2012,22.9
alan_trefler,2013,21.5
alan_trefler,2014,20.8
alan_trefler,2015,22.1
albert_chao,2013,91.7
albert_chao,2017,21.9
albert_chao,2018,4.1
albert_chao,2019,3.1
albert_chao,2020,4.3
albert_chao,2021,29.7
albert_chao,2022,25.8
albert_chao,2023,17.7
albert_chao,2024,16.1
albert_chao,2025,7.3
albert_nahmad,2008,26.0
albert_nahmad,2009,24.0
albert_nahmad,2010,23.7
albert_nahmad,2011,5.4
albert_nahmad,2012,5.3
albert_nahmad,2013,5.3
albert_nahmad,2014,5.4
albert_nahmad,2015,5.4
albert_nahmad,2016,5.4
albert_nahmad,2017,5.5
albert_nahmad,2018,5.5
albert_nahmad,2019,5.5
albert_nahmad,2020,5.6
albert_nahmad,2021,26.6
albert_nahmad,2022,27.9
albert_nahmad,2023,27.4
albert_nahmad,2024,26.8
albert_nahmad,2025,28.0
alexander_karp,2018,72.2
alexander_karp,2019,67.4
alexander_karp,2020,67.7
alexander_karp,2021,78.0
alexander_karp,2022,78.6
alexander_karp,2023,80.6
alexander_karp,2024,80.2
alexander_karp,2025,82.4
alexis_le_quoc,2017,76.8
alexis_le_quoc,2018,76.5
alexis_le_quoc,2019,75.5
alexis_le_quoc,2020,78.4
alexis_le_quoc,2021,77.2
alexis_le_quoc,2022,79.3
alexis_le_quoc,2023,80.7
alexis_le_quoc,2024,80.8
alexis_le_quoc,2025,80.0
alfred_west_jr,2010,28.5
alfred_west_jr,2011,26.4
alfred_west_jr,2012,25.8
alfred_west_jr,2013,26.8
alfred_west_jr,2014,31.7
alfred_west_jr,2015,30.9
alfred_west_jr,2016,31.0
alfred_west_jr,2017,30.2
alfred_west_jr,2018,31.3
alfred_west_jr,2019,32.3
alfred_west_jr,2020,30.9
alfred_west_jr,2021,33.6
alfred_west_jr,2022,32.3
alfred_west_jr,2023,29.0
alfred_west_jr,2024,32.9
alfred_west_jr,2025,35.2
andrew_bialecki,2021,70.9
andrew_bialecki,2022,72.9
andrew_bialecki,2023,74.5
andrew_bialecki,2024,76.4
andrew_bialecki,2025,74.7
anita_zucker,2016,47.0
anita_zucker,2017,44.3
anita_zucker,2018,38.0
anthony_wood,2016,30.4
anthony_wood,2017,39.0
anthony_wood,2018,15.1
anthony_wood,2019,14.3
anthony_wood,2020,17.2
anthony_wood,2021,51.0
anthony_wood,2022,46.1
anthony_wood,2023,43.7
anthony_wood,2024,43.9
anthony_wood,2025,43.8
antonio_gracias,2009,8.5
antonio_gracias,2010,26.3
antonio_gracias,2011,3.8
antonio_gracias,2012,5.8
antonio_gracias,2013,7.8
antonio_gracias,2014,8.2
antonio_gracias,2015,5.4
antonio_gracias,2016,6.2
antonio_gracias,2017,3.7
antonio_gracias,2018,6.7
antonio_gracias,2019,5.7
antonio_gracias,2020,6.6
antonio_gracias,2021,25.3
antonio_gracias,2022,25.6
antonio_gracias,2023,18.2
antonio_gracias,2024,17.9
antonio_gracias,2025,18.0
arthur_blank,2008,33.6
arthur_blank,2009,33.7
arthur_blank,2010,33.9
b_wayne_hughes_jr,2013,70.9
b_wayne_hughes_jr,2014,71.2
b_wayne_hughes_jr,2015,73.3
b_wayne_hughes_jr,2016,73.9
b_wayne_hughes_jr,2017,73.5
b_wayne_hughes_jr,2018,73.1
barbara_tyson,2016,12.7
barbara_tyson,2017,13.2
barbara_tyson,2018,3.4
barbara_tyson,2019,2.7
barbara_tyson,2020,3.7
barbara_tyson,2021,13.9
barbara_tyson,2022,12.5
barbara_tyson,2023,5.0
barbara_tyson,2024,6.8
barbara_tyson,2025,6.5
behdad_eghbali,2014,46.5
behdad_eghbali,2015,46.8
behdad_eghbali,2016,13.2
behdad_eghbali,2017,12.7
ben_navarro,2023,25.3
ben_navarro,2024,27.3
ben_navarro,2025,26.4
bennett_dorrance,2017,10.2
bennett_dorrance,2018,8.3
bennett_dorrance,2019,7.5
bennett_dorrance,2020,8.6
benoit_dageville,2019,46.5
benoit_dageville,2020,56.0
benoit_dageville,2021,59.0
benoit_dageville,2022,62.4
benoit_dageville,2023,65.3
benoit_dageville,2024,68.0
benoit_dageville,2025,66.5
bernard_saul_ii,2010,74.3
bernard_saul_ii,2011,73.9
bernard_saul_ii,2012,75.1
bernard_saul_ii,2013,75.8
bernard_saul_ii,2014,76.1
bernard_saul_ii,2015,75.5
bernard_saul_ii,2016,75.3
bernard_saul_ii,2017,75.5
bernard_saul_ii,2018,75.3
bernard_saul_ii,2019,75.0
bernard_saul_ii,2020,74.1
bernard_saul_ii,2021,74.2
bernard_saul_ii,2022,73.8
bernard_saul_ii,2023,73.9
bill_gates,2008,21.5
bill_gates,2009,18.0
bill_gates,2010,20.6
bom_suk_kim,2022,22.9
bom_suk_kim,2023,25.4
bom_suk_kim,2024,29.2
bom_suk_kim,2025,29.4
brad_jacobs,2017,39.8
brad_jacobs,2018,41.3
brad_jacobs,2019,38.1
brad_jacobs,2020,40.2
brad_jacobs,2021,41.3
brad_jacobs,2022,39.9
brad_jacobs,2023,39.6
brian_higgins,2016,15.3
brian_higgins,2017,49.4
brian_higgins,2018,13.2
brian_higgins,2019,37.4
brian_higgins,2020,30.7
brian_higgins,2021,43.6
brian_higgins,2022,44.2
brian_higgins,2023,46.5
brian_higgins,2024,48.0
brian_higgins,2025,47.2
bruce_toll,2018,7.3
c_dean_metropoulos,2019,-32.2
c_dean_metropoulos,2020,-78.9
c_dean_metropoulos,2021,-44.3
c_dean_metropoulos,2024,-34.1
carl_icahn,2011,2.3
carl_icahn,2012,2.4
carl_icahn,2013,1.6
carl_icahn,2014,1.0
carl_icahn,2015,1.8
carl_icahn,2016,3.1
carl_icahn,2017,2.3
carl_icahn,2018,3.2
carl_icahn,2019,2.6
charles_cohen,2016,32.5
charles_cohen,2017,32.9
charles_cohen,2018,8.7
charles_cohen,2019,8.3
charles_cohen,2020,8.9
charles_cohen,2021,31.3
charles_cohen,2022,31.9
charles_cohen,2023,32.5
charles_cohen,2024,33.8
charles_cohen,2025,36.9
charles_liang,2015,15.7
charles_liang,2016,3.2
charles_liang,2017,3.5
charles_simonyi,2008,21.5
charles_simonyi,2009,18.0
charles_simonyi,2010,20.6
charlotte_colket_weber,2017,10.2
charlotte_colket_weber,2018,8.3
charlotte_colket_weber,2019,7.5
charlotte_colket_weber,2020,8.6
chris_wanstrath,2008,21.5
chris_wanstrath,2009,18.0
chris_wanstrath,2010,20.6
christian_chabot,2008,77.1
christian_chabot,2009,79.5
christian_chabot,2010,21.9
christian_chabot,2011,22.0
christian_chabot,2012,21.9
christian_chabot,2013,21.4
christian_chabot,2014,21.4
christian_chabot,2015,20.3
christian_chabot,2016,20.5
christian_chabot,2017,19.9
christopher_stolte,2008,77.1
christopher_stolte,2009,79.5
christopher_stolte,2010,21.9
christopher_stolte,2011,22.0
christopher_stolte,2012,21.9
christopher_stolte,2013,21.4
christopher_stolte,2014,21.4
christopher_stolte,2015,20.3
christopher_stolte,2016,20.5
christopher_stolte,2017,19.9
dagmar_dolby,2008,89.4
dagmar_dolby,2009,91.0
dagmar_dolby,2010,85.7
dagmar_dolby,2011,22.8
dagmar_dolby,2012,21.4
dagmar_dolby,2013,89.4
dagmar_dolby,2014,22.3
dagmar_dolby,2015,21.4
dagmar_dolby,2016,19.8
dagmar_dolby,2017,19.7
dagmar_dolby,2018,19.9
dagmar_dolby,2019,20.4
dagmar_dolby,2020,19.7
dagmar_dolby,2021,89.9
daniel_gilbert,2018,39.7
daniel_gilbert,2019,41.4
daniel_gilbert,2020,70.3
daniel_gilbert,2021,63.9
daniel_gilbert,2022,44.5
daniel_gilbert,2023,34.4
daniel_gilbert,2024,45.3
daniel_hirschfeld,2017,40.7
daniel_hirschfeld,2018,14.6
daniel_hirschfeld,2019,13.7
daniel_hirschfeld,2020,14.3
daniel_hirschfeld,2021,44.5
daniel_hirschfeld,2022,50.4
daniel_hirschfeld,2023,50.3
daniel_hirschfeld,2024,49.1
daniel_hirschfeld,2025,48.7
daniela_amodei,2017,61.7
daniela_amodei,2018,60.7
daniela_amodei,2019,61.7
daniela_amodei,2020,61.3
daniela_amodei,2021,62.8
daniela_amodei,2022,62.1
daniela_amodei,2023,61.1
daniela_amodei,2024,59.9
daniela_amodei,2025,59.1
david_booth,2019,30.6
david_booth,2020,37.9
david_booth,2021,38.8
david_booth,2022,40.2
david_booth,2023,34.4
david_booth,2024,35.6
david_booth,2025,35.0
david_c_paul,2016,76.1
david_c_paul,2017,76.3
david_c_paul,2018,21.0
david_c_paul,2019,20.7
david_c_paul,2020,21.9
david_c_paul,2021,75.0
david_c_paul,2022,74.2
david_c_paul,2023,65.1
david_einhorn,2009,51.5
david_einhorn,2010,55.3
david_einhorn,2011,15.6
david_einhorn,2012,13.7
david_einhorn,2013,14.2
david_einhorn,2014,12.0
david_einhorn,2015,11.3
david_einhorn,2016,11.9
david_einhorn,2017,12.5
david_einhorn,2018,11.7
david_einhorn,2019,11.4
david_einhorn,2020,12.5
david_einhorn,2021,38.8
david_einhorn,2022,41.2
david_einhorn,2023,42.4
david_einhorn,2024,44.4
david_einhorn,2025,48.5
david_sun,2018,72.2
david_sun,2019,67.4
david_sun,2020,67.7
david_sun,2021,78.0
david_sun,2022,78.6
david_sun,2023,80.6
david_sun,2024,80.2
david_sun,2025,82.4
dean_solon,2019,30.6
dean_solon,2020,37.9
dean_solon,2021,38.8
dean_solon,2022,40.2
dean_solon,2023,34.4
dean_solon,2024,35.6
dean_solon,2025,35.0
denise_prenosil,2017,29.9
denise_prenosil,2018,9.0
denise_prenosil,2019,8.2
denise_prenosil,2020,29.2
denise_prenosil,2021,31.8
denise_prenosil,2022,38.3
denise_prenosil,2023,34.6
denise_prenosil,2024,34.9
denise_prenosil,2025,35.9
dorothy_chao_jenkins,2013,91.7
dorothy_chao_jenkins,2017,21.9
dorothy_chao_jenkins,2018,4.1
dorothy_chao_jenkins,2019,3.1
dorothy_chao_jenkins,2020,4.3
dorothy_chao_jenkins,2021,29.7
dorothy_chao_jenkins,2022,25.8
dorothy_chao_jenkins,2023,17.7
dorothy_chao_jenkins,2024,16.1
dorothy_chao_jenkins,2025,7.3
drew_houston,2016,53.8
drew_houston,2017,66.7
drew_houston,2018,71.6
drew_houston,2019,75.3
drew_houston,2020,78.3
drew_houston,2021,79.4
drew_houston,2022,80.9
drew_houston,2023,80.9
drew_houston,2024,82.5
drew_houston,2025,80.1
dwight_schar,2017,5.6
dwight_schar,2018,-0.8
edward_stack,2017,29.9
edward_stack,2018,9.0
edward_stack,2019,8.2
edward_stack,2020,29.2
edward_stack,2021,31.8
edward_stack,2022,38.3
edward_stack,2023,34.6
edward_stack,2024,34.9
edward_stack,2025,35.9
egon_durban,2017,-6.7
egon_durban,2018,20.0
egon_durban,2019,11.2
egon_durban,2020,6.2
egon_durban,2021,25.2
egon_durban,2022,-5.7
egon_durban,2023,-24.1
egon_durban,2024,12.8
elon_musk,2009,8.5
elon_musk,2010,26.3
elon_musk,2011,3.8
elon_musk,2012,5.8
elon_musk,2013,7.8
elon_musk,2014,8.2
elon_musk,2015,5.4
elon_musk,2016,6.2
elon_musk,2017,3.7
elon_musk,2018,6.7
elon_musk,2019,5.7
elon_musk,2020,6.6
elon_musk,2021,25.3
elon_musk,2022,25.6
elon_musk,2023,18.2
elon_musk,2024,17.9
elon_musk,2025,18.0
eric_yuan,2018,79.7
eric_yuan,2019,81.5
eric_yuan,2020,25.0
eric_yuan,2021,23.2
eric_yuan,2022,74.3
eric_yuan,2023,74.9
eric_yuan,2024,76.2
eric_yuan,2025,75.8
eric_yuan,2026,77.0
ernest_garcia_ii,2017,7.9
ernest_garcia_ii,2018,10.1
