person,time,revenue_m
a_jayson_adair,2014,1163.5
a_jayson_adair,2015,1146.1
a_jayson_adair,2016,1268.4
a_jayson_adair,2017,1448.0
a_jayson_adair,2018,1805.7
abel_avellan,2024,4.4
abigail_bennett,2017,7321.1
abigail_bennett,2018,7580.3
abigail_bennett,2019,8116.0
abigail_bennett,2020,8343.5
abigail_bennett,2021,8614.9
abigail_bennett,2022,8820.7
abigail_bennett,2023,9452.6
abigail_bennett,2024,9961.8
abigail_bennett,2025,10208.7
adam_foroughi,2019,994.1
adam_foroughi,2020,1451.1
adam_foroughi,2021,2793.1
adam_foroughi,2022,2817.1
adam_foroughi,2023,3283.1
adam_foroughi,2024,4709.2
adam_foroughi,2025,5480.7
adam_forste,2023,5342.0
adam_forste,2024,5340.0
adam_forste,2025,5355.0
adebayo_ogunlesi,2022,11061.0
adebayo_ogunlesi,2023,11012.0
adebayo_ogunlesi,2024,12794.0
aerin_lauder,2017,11824.0
aerin_lauder,2018,13683.0
aerin_lauder,2019,14863.0
aerin_lauder,2020,14294.0
aerin_lauder,2021,16215.0
aerin_lauder,2022,17737.0
aerin_lauder,2023,15910.0
aerin_lauder,2024,15608.0
aerin_lauder,2025,14326.0
alan_b_miller,2016,9766.2
alan_b_miller,2017,10409.9
alan_b_miller,2018,10772.3
alan_b_miller,2019,11378.3
alan_b_miller,2020,11558.9
alan_b_miller,2021,12642.1
alan_b_miller,2022,13399.4
alan_b_miller,2023,14282.0
alan_b_miller,2024,15827.9
alan_b_miller,2025,17364.8
alan_gerry,2009,22.1
alan_gerry,2010,41.6
alan_gerry,2011,65.2
alan_gerry,2012,84.8
alan_gerry,2013,149.5
alan_gerry,2014,183.8
alan_gerry,2015,298.9
alan_gerry,2016,219.4
alan_gerry,2017,237.4
alan_gerry,2018,274.1
alan_gerry,2021,304.3
alan_gerry,2022,301.3
alan_gerry,2023,349.0
alan_gerry,2024,427.7
alan_gerry,2025,493.8
alan_trefler,2009,264.0
alan_trefler,2010,336.6
alan_trefler,2011,416.7
alan_trefler,2012,461.7
alan_trefler,2013,509.0
alan_trefler,2014,590.0
alan_trefler,2015,682.7
albert_chao,2011,446.4
albert_chao,2012,319.9
albert_chao,2013,322.4
albert_chao,2014,147.9
albert_chao,2015,108.4
albert_chao,2016,191.1
albert_chao,2017,8041.0
albert_chao,2018,8635.0
albert_chao,2019,8118.0
albert_chao,2020,7504.0
albert_chao,2021,11778.0
albert_chao,2022,15794.0
albert_chao,2023,12548.0
albert_chao,2024,12142.0
albert_chao,2025,11170.0
albert_nahmad,2008,1700.2
albert_nahmad,2009,2001.8
albert_nahmad,2010,2844.6
albert_nahmad,2011,2977.8
albert_nahmad,2012,3431.7
albert_nahmad,2013,3743.3
albert_nahmad,2014,3944.5
albert_nahmad,2015,4113.2
albert_nahmad,2016,4220.7
albert_nahmad,2017,4342.0
albert_nahmad,2018,4546.7
albert_nahmad,2019,4770.4
albert_nahmad,2020,5054.9
albert_nahmad,2021,6280.2
albert_nahmad,2022,7274.3
albert_nahmad,2023,7283.8
albert_nahmad,2024,7618.3
albert_nahmad,2025,7239.3
alexander_karp,2018,595.4
alexander_karp,2019,742.6
alexander_karp,2020,1092.7
alexander_karp,2021,1541.9
alexander_karp,2022,1905.9
alexander_karp,2023,2225.0
alexander_karp,2024,2865.5
alexander_karp,2025,4475.4
alexis_le_quoc,2017,100.8
alexis_le_quoc,2018,198.1
alexis_le_quoc,2019,362.8
alexis_le_quoc,2020,603.5
alexis_le_quoc,2021,1028.8
alexis_le_quoc,2022,1675.1
alexis_le_quoc,2023,2128.4
alexis_le_quoc,2024,2684.3
alexis_le_quoc,2025,3427.2
alfred_west_jr,2008,1247.9
alfred_west_jr,2009,1060.5
alfred_west_jr,2010,900.8
alfred_west_jr,2011,929.7
alfred_west_jr,2012,992.5
alfred_west_jr,2013,1126.1
alfred_west_jr,2014,1266.0
alfred_west_jr,2015,1334.2
alfred_west_jr,2016,1401.5
alfred_west_jr,2017,1526.6
alfred_west_jr,2018,1624.2
alfred_west_jr,2019,1649.9
alfred_west_jr,2020,1684.1
alfred_west_jr,2021,1918.3
alfred_west_jr,2022,1991.0
alfred_west_jr,2023,1919.8
alfred_west_jr,2024,2125.2
alfred_west_jr,2025,2297.4
alice_walton,2008,377023.0
alice_walton,2009,404374.0
alice_walton,2010,408085.0
alice_walton,2011,421849.0
alice_walton,2012,446950.0
alice_walton,2013,468651.0
alice_walton,2014,476294.0
alice_walton,2015,485651.0
alice_walton,2016,482130.0
alice_walton,2017,485873.0
alice_walton,2018,500343.0
alice_walton,2019,514405.0
alice_walton,2020,523964.0
alice_walton,2021,559151.0
alice_walton,2022,572754.0
alice_walton,2023,611289.0
alice_walton,2024,648125.0
alice_walton,2025,680985.0
alice_walton,2026,713163.0
amos_hostetter,2007,118928.0
amos_hostetter,2008,123443.0
amos_hostetter,2009,123018.0
amos_hostetter,2010,124280.0
amos_hostetter,2011,126723.0
amos_hostetter,2012,127434.0
amos_hostetter,2013,128752.0
amos_hostetter,2014,132447.0
amos_hostetter,2015,146801.0
amos_hostetter,2016,163786.0
amos_hostetter,2017,160546.0
amos_hostetter,2018,170756.0
amos_hostetter,2019,181193.0
amos_hostetter,2020,171760.0
amos_hostetter,2021,168864.0
amos_hostetter,2022,120741.0
amos_hostetter,2023,122428.0
amos_hostetter,2024,122336.0
amos_hostetter,2025,125648.0
andrew_bialecki,2021,290.6
andrew_bialecki,2022,472.7
andrew_bialecki,2023,698.1
andrew_bialecki,2024,937.5
andrew_bialecki,2025,1234.0
andrew_cherng,2016,52.3
andrew_cherng,2017,54.3
andrew_cherng,2018,53.6
andrew_cherng,2019,55.3
andrew_karam,2019,994.1
andrew_karam,2020,1451.1
andrew_karam,2021,2793.1
andrew_karam,2022,2817.1
andrew_karam,2023,3283.1
andrew_karam,2024,4709.2
andrew_karam,2025,5480.7
andrew_tisch,2009,8472.0
andrew_tisch,2010,9209.0
andrew_tisch,2011,8947.0
andrew_tisch,2012,9547.0
andrew_tisch,2013,10113.0
andrew_tisch,2014,9692.0
andrew_tisch,2015,9101.0
andrew_tisch,2016,9366.0
andrew_tisch,2017,9542.0
andrew_tisch,2018,10134.0
andrew_tisch,2019,10767.0
andrew_tisch,2020,10808.0
andrew_tisch,2021,11908.0
andrew_tisch,2022,11879.0
andrew_tisch,2023,13299.0
andrew_tisch,2024,14270.0
andrew_tisch,2025,14989.0
andy_fang,2018,291.0
andy_fang,2019,885.0
andy_fang,2020,2886.0
andy_fang,2021,4888.0
andy_fang,2022,6583.0
andy_fang,2023,8635.0
andy_fang,2024,10722.0
andy_fang,2025,13717.0
aneel_bhusri,2010,68.1
aneel_bhusri,2012,134.4
aneel_bhusri,2013,273.7
aneel_bhusri,2014,468.9
aneel_bhusri,2015,787.9
aneel_bhusri,2016,1162.3
aneel_bhusri,2017,1569.4
aneel_bhusri,2018,2143.1
anita_zucker,2016,18.7
anita_zucker,2017,19.6
anita_zucker,2018,19.7
ann_walton_kroenke,2008,377023.0
ann_walton_kroenke,2009,404374.0
ann_walton_kroenke,2010,408085.0
ann_walton_kroenke,2011,421849.0
ann_walton_kroenke,2012,446950.0
ann_walton_kroenke,2013,468651.0
ann_walton_kroenke,2014,476294.0
ann_walton_kroenke,2015,485651.0
ann_walton_kroenke,2016,482130.0
ann_walton_kroenke,2017,485873.0
ann_walton_kroenke,2018,500343.0
ann_walton_kroenke,2019,514405.0
ann_walton_kroenke,2020,523964.0
ann_walton_kroenke,2021,559151.0
ann_walton_kroenke,2022,572754.0
ann_walton_kroenke,2023,611289.0
ann_walton_kroenke,2024,648125.0
ann_walton_kroenke,2025,680985.0
ann_walton_kroenke,2026,713163.0
anthony_wood,2016,398.6
anthony_wood,2017,512.8
anthony_wood,2018,742.5
anthony_wood,2019,1128.9
anthony_wood,2020,1778.4
anthony_wood,2021,2764.6
anthony_wood,2022,3126.5
anthony_wood,2023,3484.6
anthony_wood,2024,4112.9
anthony_wood,2025,4737.3
antonio_gracias,2009,111.9
antonio_gracias,2010,116.7
antonio_gracias,2011,204.2
antonio_gracias,2012,413.3
antonio_gracias,2013,2013.5
antonio_gracias,2014,3198.4
antonio_gracias,2015,4046.0
antonio_gracias,2016,7000.1
antonio_gracias,2017,11758.8
antonio_gracias,2018,21461.3
antonio_gracias,2019,24578.0
antonio_gracias,2020,31536.0
antonio_gracias,2021,53823.0
antonio_gracias,2022,81462.0
antonio_gracias,2023,96773.0
antonio_gracias,2024,97690.0
antonio_gracias,2025,94827.0
antony_ressler,2012,334.0
antony_ressler,2013,478.7
antony_ressler,2014,603.9
antony_ressler,2015,814.4
antony_ressler,2016,1199.2
antony_ressler,2017,1415.5
antony_ressler,2018,1218.2
antony_ressler,2019,1433.1
antony_ressler,2020,1753.7
antony_ressler,2021,2288.9
antony_ressler,2022,2880.0
antony_ressler,2023,3236.3
antony_ressler,2024,3690.7
antony_ressler,2025,4755.6
art_levinson,2013,55519.0
art_levinson,2014,66001.0
art_levinson,2015,74989.0
art_levinson,2016,90272.0
art_levinson,2017,110855.0
art_levinson,2018,136819.0
art_levinson,2019,161857.0
art_levinson,2020,182527.0
art_levinson,2021,257637.0
art_levinson,2023,307394.0
art_levinson,2024,350018.0
art_levinson,2025,402836.0
arthur_blank,2008,77349.0
arthur_blank,2009,71288.0
arthur_blank,2010,66176.0
arthur_dantchik,2013,55519.0
arthur_dantchik,2014,66001.0
arthur_dantchik,2015,74989.0
arthur_dantchik,2016,90272.0
arthur_dantchik,2017,110855.0
arthur_dantchik,2018,136819.0
arthur_dantchik,2019,161857.0
arthur_dantchik,2020,182527.0
arthur_dantchik,2021,257637.0
arthur_dantchik,2023,307394.0
arthur_dantchik,2024,350018.0
arthur_dantchik,2025,402836.0
arturo_moreno,2013,55519.0
arturo_moreno,2014,66001.0
arturo_moreno,2015,74989.0
arturo_moreno,2016,90272.0
arturo_moreno,2017,110855.0
arturo_moreno,2018,136819.0
arturo_moreno,2019,161857.0
arturo_moreno,2020,182527.0
arturo_moreno,2021,257637.0
arturo_moreno,2023,307394.0
arturo_moreno,2024,350018.0
arturo_moreno,2025,402836.0
august_troendle,2016,421.6
august_troendle,2017,436.2
august_troendle,2018,704.6
august_troendle,2019,861.0
august_troendle,2020,925.9
august_troendle,2021,1142.4
august_troendle,2022,1460.0
august_troendle,2023,1885.8
august_troendle,2024,2109.1
august_troendle,2025,2530.2
avram_glazer,2009,8472.0
avram_glazer,2010,9209.0
avram_glazer,2011,8947.0
avram_glazer,2012,9547.0
avram_glazer,2013,10113.0
avram_glazer,2014,9692.0
avram_glazer,2015,9101.0
avram_glazer,2016,9366.0
avram_glazer,2017,9542.0
avram_glazer,2018,10134.0
avram_glazer,2019,10767.0
avram_glazer,2020,10808.0
avram_glazer,2021,11908.0
avram_glazer,2022,11879.0
avram_glazer,2023,13299.0
avram_glazer,2024,14270.0
avram_glazer,2025,14989.0
b_wayne_hughes_jr,2007,1787.2
b_wayne_hughes_jr,2008,1720.5
b_wayne_hughes_jr,2009,1627.7
b_wayne_hughes_jr,2010,1646.7
b_wayne_hughes_jr,2011,1752.1
b_wayne_hughes_jr,2012,1826.7
b_wayne_hughes_jr,2013,1981.7
b_wayne_hughes_jr,2014,2195.4
b_wayne_hughes_jr,2015,2381.7
b_wayne_hughes_jr,2016,2560.5
b_wayne_hughes_jr,2017,2668.5
b_wayne_hughes_jr,2018,2754.3
b_wayne_hughes_jr,2019,2846.8
b_wayne_hughes_jr,2020,2915.1
b_wayne_hughes_jr,2021,3415.8
b_wayne_hughes_jr,2022,4182.2
b_wayne_hughes_jr,2023,4517.7
b_wayne_hughes_jr,2024,4695.6
b_wayne_hughes_jr,2025,4824.1
baiju_bhatt,2019,277.5
baiju_bhatt,2020,958.0
baiju_bhatt,2021,1815.1
baiju_bhatt,2022,1358.0
baiju_bhatt,2023,1865.0
baiju_bhatt,2024,2951.0
baiju_bhatt,2025,4473.0
barbara_tyson,2016,36881.0
barbara_tyson,2017,38260.0
barbara_tyson,2018,40052.0
barbara_tyson,2019,42405.0
barbara_tyson,2020,43185.0
barbara_tyson,2021,47049.0
barbara_tyson,2022,53282.0
barbara_tyson,2023,52881.0
barbara_tyson,2024,53309.0
barbara_tyson,2025,54441.0
barry_diller,2018,2533.0
barry_diller,2019,2510.0
barry_diller,2020,3047.7
barry_diller,2021,3699.6
barry_diller,2022,5235.3
barry_diller,2023,4365.2
barry_sternlicht,2011,206.5
barry_sternlicht,2012,307.3
barry_sternlicht,2013,565.7
barry_sternlicht,2014,702.9
barry_sternlicht,2015,735.9
barry_sternlicht,2016,784.7
barry_sternlicht,2017,879.9
barry_sternlicht,2018,1109.3
barry_sternlicht,2019,1196.4
barry_sternlicht,2020,1136.2
barry_sternlicht,2021,1170.1
barry_sternlicht,2022,1464.7
barry_sternlicht,2023,2049.9
barry_sternlicht,2024,1946.8
barry_sternlicht,2025,1844.3
behdad_eghbali,2014,767.9
behdad_eghbali,2015,1000.3
behdad_eghbali,2016,1481.4
behdad_eghbali,2017,1675.3
ben_ashkenazy,2021,1031.9
ben_ashkenazy,2022,1140.1
ben_ashkenazy,2023,1675.0
ben_ashkenazy,2024,2804.3
ben_ashkenazy,2025,4735.2
ben_chestnut,2016,4694.0
ben_chestnut,2017,5196.0
ben_chestnut,2018,5964.0
ben_chestnut,2019,6784.0
ben_chestnut,2020,7679.0
ben_chestnut,2021,9633.0
ben_chestnut,2022,12726.0
ben_chestnut,2023,14368.0
ben_chestnut,2024,16285.0
ben_chestnut,2025,18831.0
ben_navarro,2023,23231.0
ben_navarro,2024,25507.0
ben_navarro,2025,28432.0
ben_silbermann,2017,472.9
ben_silbermann,2018,755.9
ben_silbermann,2019,1142.8
ben_silbermann,2020,1692.7
ben_silbermann,2021,2578.0
ben_silbermann,2022,2802.6
ben_silbermann,2023,3055.1
ben_silbermann,2024,3646.2
ben_silbermann,2025,4221.8
bennet_rosenthal,2012,334.0
bennet_rosenthal,2013,478.7
bennet_rosenthal,2014,603.9
bennet_rosenthal,2015,814.4
bennet_rosenthal,2016,1199.2
bennet_rosenthal,2017,1415.5
bennet_rosenthal,2018,1218.2
bennet_rosenthal,2019,1433.1
bennet_rosenthal,2020,1753.7
bennet_rosenthal,2021,2288.9
bennet_rosenthal,2022,2880.0
bennet_rosenthal,2023,3236.3
bennet_rosenthal,2024,3690.7
bennet_rosenthal,2025,4755.6
bennett_dorrance,2017,5837.0
bennett_dorrance,2018,6615.0
bennett_dorrance,2019,8107.0
bennett_dorrance,2020,8691.0
bennett_dorrance,2021,8476.0
bennett_dorrance,2022,8562.0
bennett_dorrance,2023,9357.0
bennett_dorrance,2024,9636.0
bennett_dorrance,2025,10253.0
benoit_dageville,2019,96.7
benoit_dageville,2020,264.7
benoit_dageville,2021,592.0
benoit_dageville,2022,1219.3
benoit_dageville,2023,2065.7
benoit_dageville,2024,2806.5
benoit_dageville,2025,3626.4
bernard_saul_ii,2009,161.0
bernard_saul_ii,2010,163.1
bernard_saul_ii,2011,174.4
bernard_saul_ii,2012,190.1
bernard_saul_ii,2013,197.9
bernard_saul_ii,2014,207.1
bernard_saul_ii,2015,209.1
bernard_saul_ii,2016,217.1
bernard_saul_ii,2017,227.3
bernard_saul_ii,2018,227.9
bernard_saul_ii,2019,231.5
bernard_saul_ii,2020,225.2
bernard_saul_ii,2021,239.2
bernard_saul_ii,2022,245.9
bernard_saul_ii,2023,257.2
bernard_saul_ii,2024,268.8
bernard_saul_ii,2025,289.8
bharat_desai,2017,42.7
bharat_desai,2018,60.1
bharat_desai,2019,77.5
bharat_desai,2020,117.0
bharat_desai,2021,151.3
bharat_desai,2022,209.4
bharat_desai,2023,261.3
bharat_desai,2024,314.5
bharat_desai,2025,365.3
bill_gates,2008,60420.0
bill_gates,2009,58437.0
bill_gates,2010,62484.0
bill_haslam,2009,872.8
bill_haslam,2010,770.0
bill_haslam,2011,952.1
bill_haslam,2012,986.6
bill_haslam,2013,954.6
bill_haslam,2014,1041.0
bill_haslam,2015,1092.1
bill_haslam,2016,1149.2
bill_haslam,2017,1184.7
bob_parsons,2016,1847.9
bob_parsons,2017,2231.9
bob_parsons,2018,2660.1
bob_parsons,2019,2988.1
bob_parsons,2020,3316.7
bob_parsons,2021,3815.7
bob_parsons,2022,4091.3
bob_parsons,2023,4254.1
bob_parsons,2024,4573.2
bob_parsons,2025,4951.1
bobby_murphy,2015,58.7
bobby_murphy,2016,404.5
bobby_murphy,2017,824.9
bom_suk_kim,2019,6273.3
bom_suk_kim,2020,11967.3
bom_suk_kim,2021,18406.4
bom_suk_kim,2022,20582.6
bom_suk_kim,2023,24383.0
bom_suk_kim,2024,30268.0
bom_suk_kim,2025,34534.0
brad_jacobs,2017,34.9
brad_jacobs,2018,41.0
brad_jacobs,2019,38.5
brad_jacobs,2020,41.2
brad_jacobs,2021,41.7
brad_jacobs,2022,45.0
brad_jacobs,2023,54.5
brad_kelley,2009,3.3
brad_kelley,2010,3.4
brad_kelley,2011,2.8
brad_kelley,2012,16.0
brad_kelley,2013,3.0
brad_kelley,2014,7.0
brad_kelley,2015,24.8
brad_kelley,2016,22.6
brad_kelley,2017,42.9
brad_keywell,2022,320.7
brad_keywell,2023,531.8
brad_keywell,2024,693.4
brad_keywell,2025,1271.8
brannin_mcbee,2023,229.0
brannin_mcbee,2024,1915.0
brannin_mcbee,2025,5131.0
brett_adcock,2025,0.3
brian_armstrong,2019,533.7
brian_armstrong,2020,1277.5
brian_armstrong,2021,7839.4
brian_armstrong,2022,3194.2
brian_armstrong,2023,3108.4
brian_armstrong,2024,6564.0
brian_armstrong,2025,7181.3
brian_chesky,2019,4805.2
brian_chesky,2020,3378.0
brian_chesky,2021,5991.8
brian_chesky,2022,8399.0
brian_chesky,2023,9917.0
brian_chesky,2024,11102.0
brian_chesky,2025,12241.0
brian_higgins,2016,64.6
brian_higgins,2017,63.2
brian_higgins,2018,67.8
brian_higgins,2019,67.1
brian_higgins,2020,64.1
brian_higgins,2021,68.9
brian_higgins,2022,74.2
brian_higgins,2023,72.4
brian_higgins,2024,73.0
brian_higgins,2025,65.1
brian_roberts,2007,31060.0
brian_roberts,2008,34423.0
brian_roberts,2009,35756.0
brian_roberts,2010,37937.0
brian_roberts,2011,55842.0
brian_roberts,2012,62570.0
brian_roberts,2013,64657.0
brian_roberts,2014,68775.0
brian_roberts,2015,74510.0
