person,time,worth
a_jayson_adair,2021,1000
a_jayson_adair,2022,1056
a_jayson_adair,2023,1175
a_jayson_adair,2024,1762
a_jayson_adair,2025,1834
a_krishnamoorthy,2024,969
a_krishnamoorthy,2025,1283
abdul_majeed_alhokair,2015,1551
abdul_majeed_alhokair,2017,1327
abdul_rasyid,2016,1224
abdulla_ahmed_al_ghurair,2001,2815
abdulla_ahmed_al_ghurair,2002,2617
abdulla_ahmed_al_ghurair,2003,2874
abdulla_ahmed_al_ghurair,2004,5061
abdulla_ahmed_al_ghurair,2005,5023
abdulla_ahmed_al_ghurair,2006,8604
abdulla_ahmed_al_ghurair,2007,9920
abdulla_ahmed_al_ghurair,2008,10822
abdulla_ahmed_al_ghurair,2009,9188
abdulla_ahmed_al_ghurair,2010,4084
abdulla_ahmed_al_ghurair,2011,3156
abdulla_ahmed_al_ghurair,2012,3340
abdulla_ahmed_al_ghurair,2013,3515
abdulla_ahmed_al_ghurair,2014,5366
abdulla_ahmed_al_ghurair,2015,7091
abdulla_ahmed_al_ghurair,2016,5453
abdulla_ahmed_al_ghurair,2017,7520
abdulla_ahmed_al_ghurair,2018,6413
abdulla_ahmed_al_ghurair,2019,4784
abdulla_ahmed_al_ghurair,2020,3759
abdulla_ahmed_al_ghurair,2021,2800
abdulla_ahmed_al_ghurair,2022,2496
abdulla_ahmed_al_ghurair,2023,2712
abdulla_ahmed_al_ghurair,2024,3435
abdulla_ahmed_al_ghurair,2025,4218
abdulla_al_futtaim,2006,1745
abdulla_al_futtaim,2007,3719
abdulla_al_futtaim,2008,2432
abdulla_al_futtaim,2009,2120
abdulla_al_futtaim,2010,1283
abdulla_al_futtaim,2011,1519
abdulla_al_futtaim,2012,1843
abdulla_al_futtaim,2013,1871
abdulla_al_futtaim,2014,2795
abdulla_al_futtaim,2015,3545
abdulla_al_futtaim,2016,3450
abdulla_al_futtaim,2017,4534
abdulla_al_futtaim,2018,3587
abdulla_al_futtaim,2019,2600
abdulla_al_futtaim,2020,2133
abdulla_al_futtaim,2021,2200
abdulla_al_futtaim,2022,2400
abdulla_al_futtaim,2023,2169
abdulla_al_futtaim,2024,2907
abdulla_al_futtaim,2025,4309
abdullah_al_othaim,2025,2292
abdullah_al_rajhi,2006,4738
abdullah_al_rajhi,2007,3224
abdullah_al_rajhi,2008,3891
abdullah_al_rajhi,2009,2120
abdullah_al_rajhi,2010,2684
abdullah_al_rajhi,2011,2922
abdullah_al_rajhi,2012,2534
abdullah_al_rajhi,2013,2494
abdullah_al_rajhi,2014,2683
abdullah_al_rajhi,2015,1994
abdullah_al_rajhi,2016,1558
abdullah_al_rajhi,2017,2101
abdullah_al_rajhi,2018,4021
abdullah_al_rajhi,2019,1352
abdullah_amer_al_nahdi,2025,2109
abdullah_bin_sulaiman_al_rajhi,2020,1930
abdullah_bin_sulaiman_al_rajhi,2021,1300
abdullah_bin_sulaiman_al_rajhi,2022,2304
abdullah_bin_sulaiman_al_rajhi,2023,1175
abdullah_bin_sulaiman_al_rajhi,2024,2026
abdullah_bin_sulaiman_al_rajhi,2025,2292
abdulsamad_rabiu,2014,1341
abdulsamad_rabiu,2015,1108
abdulsamad_rabiu,2016,1224
abdulsamad_rabiu,2017,1327
abdulsamad_rabiu,2018,1521
abdulsamad_rabiu,2019,1664
abdulsamad_rabiu,2020,2946
abdulsamad_rabiu,2021,4900
abdulsamad_rabiu,2022,6624
abdulsamad_rabiu,2023,7412
abdulsamad_rabiu,2024,4581
abdulsamad_rabiu,2025,4676
abel_avellan,2025,2384
abhay_firodia,2015,1274
abhay_firodia,2016,1335
abhay_firodia,2017,2101
abhay_firodia,2018,2608
abhay_firodia,2019,1976
abhay_firodia,2020,1524
abhay_firodia,2021,2400
abhay_firodia,2022,2687
abhay_firodia,2023,2440
abhay_firodia,2024,3788
abhay_firodia,2025,3943
abhay_soi,2022,1248
abhay_soi,2023,1084
abhay_soi,2024,1762
abhay_soi,2025,2292
abhay_vakil,2017,2433
abhay_vakil,2018,3261
abhay_vakil,2019,1664
abhay_vakil,2020,3149
abhay_vakil,2021,4600
abhay_vakil,2022,3935
abigail_bennett,2023,994
abigail_bennett,2024,969
abigail_bennett,2025,1008
abigail_johnson,2001,13486
abigail_johnson,2002,12504
abigail_johnson,2003,11783
abigail_johnson,2004,13406
abigail_johnson,2005,15456
abigail_johnson,2006,15587
abigail_johnson,2007,16120
abigail_johnson,2008,18240
abigail_johnson,2009,11780
abigail_johnson,2010,13420
abigail_johnson,2011,13209
abigail_johnson,2012,11865
abigail_johnson,2013,14401
abigail_johnson,2014,19341
abigail_johnson,2015,14847
abigail_johnson,2016,14580
abigail_johnson,2017,15926
abigail_johnson,2018,17283
abigail_johnson,2019,16224
abigail_johnson,2020,10972
abigail_johnson,2021,20900
abigail_johnson,2022,20352
abigail_johnson,2023,19526
abigail_johnson,2024,25549
abigail_johnson,2025,29985
abilio_diniz,2001,2371
abilio_diniz,2002,1599
abilio_diniz,2004,1778
abilio_diniz,2005,1674
abilio_diniz,2006,1995
abilio_diniz,2007,2356
abilio_diniz,2008,2432
abilio_diniz,2009,1767
abilio_diniz,2010,3501
abilio_diniz,2011,3974
abilio_diniz,2012,4147
abilio_diniz,2013,4195
abilio_diniz,2014,3130
abilio_diniz,2015,4875
abilio_diniz,2016,3784
abilio_diniz,2017,3649
abilio_diniz,2018,3804
abilio_diniz,2019,3224
abilio_diniz,2020,2336
abilio_diniz,2021,2600
abilio_diniz,2022,2592
abilio_diniz,2023,2169
achal_bakeri,2015,1163
achal_bakeri,2016,1224
achal_bakeri,2017,1437
achal_bakeri,2018,1739
achal_bakeri,2019,1144
achal_bakeri,2020,1016
achal_bakeri,2021,1300
acharya_balakrishna,2017,2765
acharya_balakrishna,2018,6848
acharya_balakrishna,2019,5096
acharya_balakrishna,2020,1117
acharya_balakrishna,2021,2200
acharya_balakrishna,2022,1823
acharya_balakrishna,2023,3073
acharya_balakrishna,2024,3347
acharya_balakrishna,2025,3117
achmad_hamami,2012,2534
achmad_hamami,2013,1814
achmad_hamami,2014,1788
achmad_hamami,2015,1440
achmad_hamami,2016,1113
adam_bowen,2019,1144
adam_foroughi,2022,1248
adam_foroughi,2024,1938
adam_foroughi,2025,9078
adam_forste,2025,2751
adam_kwok,2017,6636
adam_kwok,2018,9674
adam_kwok,2019,2600
adam_kwok,2020,2133
adam_kwok,2021,2600
adam_kwok,2022,2207
adam_kwok,2023,2350
adam_kwok,2024,1938
adam_kwok,2025,2109
adam_neumann,2016,1669
adam_neumann,2017,2765
adam_neumann,2018,2717
adam_neumann,2019,4263
adam_neumann,2020,1320
adam_neumann,2022,1343
adam_neumann,2023,1988
adam_neumann,2024,2026
adam_neumann,2025,2109
adderley,2014,1956
adderley,2015,1994
adderley,2017,1106
adderley,2018,1087
adderley,2019,1144
adderley,2020,1727
adderley,2021,2300
adderley,2022,2016
adderley,2023,1265
adderley,2024,1497
adderley,2025,1467
adebayo_ogunlesi,2025,2017
adi_godrej,2003,1580
adi_godrej,2004,2736
adi_godrej,2005,2447
adi_godrej,2006,3242
adi_godrej,2007,5084
adi_godrej,2008,6688
adi_godrej,2009,3887
adi_godrej,2010,6068
adi_godrej,2011,8533
adi_godrej,2012,2764
adi_godrej,2013,4082
adi_godrej,2014,3913
adi_godrej,2015,5318
adi_godrej,2016,2448
adi_godrej,2017,2765
adi_godrej,2018,3152
adi_godrej,2019,2808
adi_godrej,2020,1930
adi_godrej,2021,2400
adi_godrej,2022,2400
adi_godrej,2023,2531
adi_godrej,2024,3347
adi_godrej,2025,3668
adriaan_mol,2023,1627
adriaan_mol,2024,1585
adriaan_mol,2025,1650
adrian_paval,2022,960
adrian_paval,2023,994
adrian_paval,2024,1233
adrian_paval,2025,1192
aerin_lauder,2014,1229
aerin_lauder,2015,1551
aerin_lauder,2016,2337
aerin_lauder,2017,1769
aerin_lauder,2018,2717
aerin_lauder,2019,2600
aerin_lauder,2020,2133
aerin_lauder,2021,3800
aerin_lauder,2022,3360
aerin_lauder,2023,2802
aerin_lauder,2024,1850
aerin_lauder,2025,1192
agnete_kirk_thinggaard,2017,2543
agnete_kirk_thinggaard,2018,5869
agnete_kirk_thinggaard,2019,4888
agnete_kirk_thinggaard,2020,6197
agnete_kirk_thinggaard,2021,8700
agnete_kirk_thinggaard,2022,7871
agnete_kirk_thinggaard,2023,6056
agnete_kirk_thinggaard,2024,5726
agnete_kirk_thinggaard,2025,6602
agoes_projosasmito,2024,5197
agoes_projosasmito,2025,4126
agustin_coppel_luken,2024,1409
agustin_coppel_luken,2025,1283
ahammed_m_p,2024,881
ahammed_m_p,2025,1192
ahmed_afif_topbas,2025,1008
ahmet_ahlatci,2025,5410
ahmet_calik,2008,1823
ahmet_calik,2009,1178
ahmet_calik,2010,1167
ahmet_calik,2011,1519
ahmet_calik,2012,1497
ahmet_calik,2013,1927
ahmet_calik,2014,1229
ahmet_calik,2015,1551
ahmet_calik,2016,1446
ahmet_calik,2017,1548
ahmet_calik,2018,1739
ahmet_calik,2019,1976
ahmet_calik,2020,1524
ahmet_calik,2021,1500
ahmet_calik,2022,1440
ahmet_calik,2023,1356
ahmet_calik,2024,1321
ahmet_calik,2025,1375
ahmet_nazif_zorlu,2005,1288
ahmet_nazif_zorlu,2006,1371
ahmet_nazif_zorlu,2007,2232
ahmet_nazif_zorlu,2008,2796
ahmet_nazif_zorlu,2009,1531
ahmet_nazif_zorlu,2010,1750
ahmet_nazif_zorlu,2011,2104
ahmet_nazif_zorlu,2012,1612
ahmet_nazif_zorlu,2013,1587
ahmet_nazif_zorlu,2014,1341
ahmet_nazif_zorlu,2015,1551
ahmet_nazif_zorlu,2016,1446
ahmet_nazif_zorlu,2017,1437
ahmet_nazif_zorlu,2018,1521
ahmet_nazif_zorlu,2019,3848
ahmet_nazif_zorlu,2020,3048
ahmet_nazif_zorlu,2021,1100
ahmet_nazif_zorlu,2022,2592
ahmet_nazif_zorlu,2023,904
ahmet_nazif_zorlu,2024,2114
ahmet_nazif_zorlu,2025,1283
ahsen_ozokur,2008,1459
ahsen_ozokur,2010,1283
ahsen_ozokur,2011,1636
ahsen_ozokur,2012,1497
ahsen_ozokur,2013,1360
ahsen_ozokur,2014,1732
ahsen_ozokur,2015,1883
ahsen_ozokur,2017,1216
ai_lihua,2017,1106
ai_lihua,2018,1413
ai_lihua,2020,1016
ai_lihua,2021,1100
ai_lihua,2022,1536
