person,name,last_name,chinese_name,gender,birth_year,country,industry,company,source,title,ticker,equity_stake_pct,voting_control_pct,total_comp_m,base_salary_k,stock_awards_m
a_jayson_adair,A. Jayson Adair,Adair,A Jayson Adair,Male,1970,usa,Automotive,Copart,Damaged cars,,CPRT,3.14,,0.43,0.001,
abel_avellan,Abel Avellan,Avellan,,Male,1971,usa,Telecom,,telecoms,,ASTS,,,,,
abigail_bennett,Abigail Bennett,Bennett,Abigail Bennett,Female,1981,usa,Food & Beverage,Constellation Brands,Liquor,,STZ,,,,,
abigail_johnson,Abigail Johnson,Johnson,阿比盖尔·约翰逊,Female,1962,usa,Finance & Investments,Fidelity,Fidelity,"Chairman & CEO, Fidelity Investments",,,,,,
adam_bowen,Adam Bowen,Bowen,,Male,1978,usa,Manufacturing,,e-cigarettes,"Chief Technology Officer, Juul Labs",,,,,,
adam_foroughi,Adam Foroughi,Foroughi,Adam Foroughi,Male,1980,usa,Technology,AppLovin,"marketing software, mobile games",,APP,,,11.2,400.0,10.79
adam_forste,Adam Forste,Forste,,Male,1978,usa,Diversified,,Diversified,,LINE,71.7,,,,
adebayo_ogunlesi,Adebayo Ogunlesi,Ogunlesi,,Male,1954,usa,Finance & Investments,,Private Equity,,BLK,,,,,
aerin_lauder,Aerin Lauder,Lauder,艾琳·劳德·津特霍夫,Female,1970,usa,Fashion & Retail,Estee Lauder,Estee Lauder,,EL,,,,,
ajay_banga,Ajay Banga,,Ajay Banga,Male,1959,usa,Financial Services,Mastercard,,,,,,,,
alan_auerbach,Alan Auerbach,Auerbach,,Male,1972,usa,Medicine,,biotechnology,,,,,,,
alan_b_miller,Alan Miller,Miller,Alan B. Miller,Male,1938,usa,Healthcare,Universal Health Services,Healthcare services,,UHS,,,0.9,1081.642,
alan_casden,Alan Casden,Casden,,Male,1948,usa,Real Estate,,real estate,"CEO, Chairman & Founder, Casden Properties LLC",,,,,,
alan_g_hassenfeld,Alan G Hassenfeld,,Alan G Hassenfeld,Male,1949,usa,Consumer Goods,Hasbro,,,,,,,,
alan_gerry,Alan Gerry,Gerry,艾伦·格里,Male,1929,usa,Media & Entertainment,Cablevision,Cable television,,WT,,,,,
alan_trefler,Alan Trefler,Trefler,艾伦·特弗勒,Male,1956,usa,Technology,Pegasystems,Software,,PEGA,,,,,
albert_chao,Albert Chao,Chao,赵元德,Male,1949,usa,Manufacturing,Westlake Corporation,"Chemicals, building products",,WLK,,,,,
albert_nahmad,Albert Nahmad,Nahmad,Albert Nahmad,Male,1941,usa,Manufacturing,Watsco,Air conditioning parts,,WSO,,,6.38,600.0,5.45
albert_ueltschi,Albert Ueltschi,Ueltschi,,Male,1920,usa,Service,,FlightSafety,,,,,,,
alec_gores,Alec Gores,Gores,亚历克·戈尔斯,Male,1953,usa,Finance & Investments,Gores,Private equity,,AMBP,,,,,
alejandro_santo_domingo,Alejandro Santo Domingo,Santo Domingo,亚历杭德罗·桑托·多明戈,Male,1977,usa,Food & Beverage,SABMiller,Beer,,BUD,,,,,
alex_atallah,Alex Atallah,Atallah,,Male,1994,usa,Technology,,online marketplace,"Cofounder, OpenSea",,,,,,
alexander_karp,Alexander Karp,Karp,亚历山大·卡普,Male,1968,usa,Technology,Palantir Technologies,Software firm,"Cofounder and CEO, Palantir Technologies",PLTR,,,4.63,1101.637,
alexander_knaster,Alexander Knaster,Knaster,,Male,1961,usa,Investments,,"oil, telecom, banking",,,,,,,
alexander_rovt,Alexander Rovt,Rovt,亚历山大·罗夫特,Male,1955,usa,Manufacturing,IBE Trade,"fertilizer, real estate",,,,,,,
alexander_spanos,Alexander Spanos,Spanos,,Male,1926,usa,Sports,San Diego Chargers,"real estate, Los Angeles Chargers","Owner, San Diego Chargers",,,,,,
alexandr_wang,Alexandr Wang,Wang,Alexandr Wang,Male,1997,usa,Technology,Scale AI,artificial intelligence,"CEO and Cofounder, Scale",,,,,,
alexandra_daitch,Alexandra Daitch,Daitch,亚历山德拉·达奇,Female,1963,usa,Food & Beverage,Cargill,Cargill,,,,,,,
alexis_le_quoc,Alexis Lê-Quôc,Lê-Quôc,Alexis Lê-Quôc,Male,1975,usa,Technology,Datadog,Cloud computing,"Cofounder, Datadog",DDOG,,,,,
alfred_james_clark,Alfred James Clark,Clark,,Male,1930,usa,Construction & Engineering,,construction,,,,,,,
alfred_mann,Alfred Mann,Mann,,Male,1928,usa,Healthcare,,medical devices,,,,,,,
alfred_taubman,Alfred Taubman,Taubman,,Male,1926,usa,Real Estate,,real estate,,,,,,,
alfred_west_jr,"Alfred West, Jr.",West,Alfred West Jr,Male,1943,usa,Finance & Investments,SEI,Money management,,SEIC,,,,,
alice_schwartz,Alice Schwartz,Schwartz,Alice N Schwartz,Female,1926,usa,Healthcare,Bio-Rad Laboratories,Biotech,,,,,,,
alice_walton,Alice Walton,Walton,爱丽丝·沃尔顿,Female,1950,usa,Fashion & Retail,Walmart,Walmart,,WMT,,,,,
allan_goldman,Allan Goldman,Goldman,Allan Goldman,Male,1945,usa,Real Estate,Solil Management,real estate,,,,,,,
allan_warburg,Allan Warburg,,艾伦·沃伯格,Male,,usa,Apparel & Accessories,Bestseller China,,,,,,,,
amanda_westphal_radcliffe,Amanda Westphal Radcliffe,Radcliffe,,Female,1968,usa,Technology,,tax software,,,,,,,
amar_bose,Amar Bose,Bose,,Male,1932,usa,Manufacturing,,Bose,,,,,,,
amit_agarwal,Amit Agarwal,,Amit Agarwal,Male,1975,usa,Cloud Solutions,Datadog,,,,,,,,
amos_hostetter,"Amos Hostetter, Jr.",Hostetter,阿莫斯·霍斯泰特,Male,1937,usa,Media & Entertainment,AT&T,Cable television,"Chair, Pilot House Associates",T,,,,,
amy_adams_strunk,Amy Adams Strunk,Adams Strunk,Amy Adams Strunk,Female,1956,usa,Sports,Tennessee Titans,Tennessee Titans,"Owner, Tennessee Titans",,,,,,
amy_goldman_fowler,Amy Goldman Fowler,Goldman Fowler,Amy Goldman Fowler,Female,1954,usa,Real Estate,Solil Management,Real estate,,,,,,,
amy_wyss,Amy Wyss,Wyss,艾米·怀斯,Female,1971,usa,Healthcare,Synthes,Medical equipment,,,,,,,
anastasia_soare,Anastasia Soare,Soare,,Female,1960,usa,Fashion & Retail,,cosmetics,,,,,,,
andrea_reimann_ciardelli,Andrea Reimann-Ciardelli,Reimann-Ciardelli,安德里亚·赖曼·贾尔代利,Female,1959,usa,Fashion & Retail,Coty,consumer goods,,,,,,,
andreas_santo_domingo,Andres Santo Domingo,Santo Domingo,安德烈亚斯·桑托·多明戈,Male,1978,usa,Food & Beverage,SABMiller,Beer,,BUD,,,,,
andrew,Andrew,,程正昌,Male,,usa,Food & Beverages,Panda Express,,,,,,,,
andrew_beal,Andrew Beal,Beal,安德鲁·比尔,Male,1953,usa,Finance & Investments,Beal Bank,"Banks, real estate",,,,,,,
andrew_bialecki,Andrew Bialecki,Bialecki,Andrew Bialecki,Male,1986,usa,Technology,Klaviyo,Marketing software,,KVYO,,,0.08,75.0,
andrew_cherng,Andrew Cherng,Cherng,,Male,1947,usa,Food & Beverage,,Fast food,,EWBC,,,,,
andrew_karam,Andrew Karam,Karam,Andrew Karam,Male,1982,usa,Technology,AppLovin,"marketing software, mobile games",,APP,,,,,
andrew_paradise,Andrew Paradise,Paradise,,Male,1984,usa,Media & Entertainment,,mobile games,,,,,,,
andrew_peggy_cherng,Andrew & Peggy Cherng,Cherng,,,,usa,Food & Beverage,Chain Panda,restaurants,,,,,,,
andrew_taylor,Andrew Taylor,,安德鲁·泰勒,Male,,usa,Transportation & Logistics,Enterprise Holdings,,,,,,,,
andrew_tisch,Andrew Tisch,Tisch,Andrew Tisch,Male,1950,usa,Diversified,Loews Corporation,Loews,,CNA,,,,,
andy_fang,Andy Fang,Fang,Andy Fang,Male,1992,usa,Technology,DoorDash,food delivery app,"Cofounder, DoorDash",DASH,,,,,
aneel_bhusri,Aneel Bhusri,Bhusri,Aneel Bhusri,Male,1966,usa,Technology,Workday,Business software,"CEO and Cofounder, Workday",WDAY,,,18.1,65.0,14.35
anita_zucker,Anita Zucker,Zucker,安妮塔·祖克,Female,1952,usa,Manufacturing,Intertech,Chemicals,,AMS,,,,,
ankur_jain,Ankur Jain,Jain,Ankur Jain,Male,1990,usa,Finance & Investments,Bilt Rewards,Rewards firm,"CEO & founder, Bilt Rewards",,,,,,
ann_walton_kroenke,Ann Walton Kroenke,Kroenke,安·沃尔顿·克伦克,Female,1949,usa,Fashion & Retail,Walmart,Walmart,,WMT,,,,,
anna_murdoch,Anna Murdoch,,安娜·默多克,Female,,usa,Investments,Investments,,,,,,,,
anne_cox_chambers,Anne Cox Chambers,Chambers,,Female,1922,usa,Media,Cox Enterprise,media,,,,,,,
