ethnicity,name
african_american,African American
american,American
argentine,Argentine
armenian,Armenian
asian,Asian
australian,Australian
austrian,Austrian
barbadian,Barbadian
belarusian,Belarusian
biracial,Biracial
bolivian,Bolivian
brazilian,Brazilian
british,British
bulgarian,Bulgarian
canadian,Canadian
chinese,Chinese
colombian,Colombian
cuban,Cuban
czech,Czech
dutch,Dutch
egyptian,Egyptian
filipino,Filipino
french,French
german,German
greek,Greek
haitian,Haitian
hispanic,Hispanic
hungarian,Hungarian
indian,Indian
indonesian,Indonesian
iranian,Iranian
iraqi,Iraqi
irish,Irish
israeli,Israeli
italian,Italian
japanese,Japanese
jewish,Jewish
kenyan,Kenyan
korean,Korean
latin_american,Latin American
lebanese,Lebanese
malaysian,Malaysian
mexican,Mexican
mixed,Mixed
moroccan,Moroccan
multiracial,Multiracial
nigerian,Nigerian
norwegian,Norwegian
pakistani,Pakistani
palestinian,Palestinian
panamanian,Panamanian
polish,Polish
puerto_rican,Puerto Rican
romanian,Romanian
russian,Russian
scottish,Scottish
singaporean,Singaporean
south_african,South African
south_asian,South Asian
spanish,Spanish
swedish,Swedish
swiss,Swiss
taiwanese,Taiwanese
turkish,Turkish
turkmen,Turkmen
ukrainian,Ukrainian
venezuelan,Venezuelan
welsh,Welsh
white,White
