person,age_at_founding,age_became_billionaire,age_education_ended,books_authored,children_in_business,co_founded,co_founder_skill_complement,consumption_index,employer_1,employer_2,employer_3,estimated_inheritance_m,estimated_lifetime_giving_m,ethnicity,family_business_type,family_office,family_office_name,family_owned_business,family_socioeconomic_class,father_occupation,first_gen_immigrant,first_institutional_investor,foundation_name,founding_detail,giving_pct_of_net_worth,giving_pledge_signatory,government_roles_held,heritage_detail,initial_funding_detail,initial_funding_type,known_art_collector,known_failed_ventures,major_lawsuits,market_position,market_position_detail,media_visibility,moat_type,moat_type_detail,mother_occupation,notable_political_positions,number_of_co_founders,number_of_companies_founded,number_of_marriages,parent_education_level,parent_immigrant,parent_immigration_detail,party,party_detail,pre_wealth_bankruptcy,primary_domain_expertise,primary_philanthropic_causes,private_jet,revenue_model_type,revenue_model_type_detail,role_at_employer_1,role_at_employer_2,role_at_employer_3,skill_profile,social_media_activity,total_pre_founding_career_years,wealth_concentration_ratio_pct,yacht,year_founded,years_at_employer_1,years_at_employer_2,years_at_employer_3,years_founding_to_1b
a_jayson_adair,19,,,0,,Y,"Willis Johnson (founder, industry/operations expertise)",low,Copart,,,,,"american,white",Vehicle auction / salvage auto,,,N,wealthy,Willis Johnson (founder/father-in-law; implied business),N,,,,,N,,,Bootstrapped,self_funded,,,,winner_take_most,,low,network_effects,Network effects / marketplace,,,1.0,1.0,1.0,,N,,republican,,N,Online vehicle auctions / operations,,Y,platform_marketplace,Online vehicle auction platform (salvage/used vehicles; $4.4B revenue),Manager,,,"ops,sales",low,0.0,25.0,,1989,37.0,,,
abel_avellan,46,,,0,,N,Brothers Barry and Clayton Zekelman,,Ericsson,Emerging Markets Communications,AST SpaceMobile,,,"american,venezuelan",Steel pipe and tube manufacturing,,,N,wealthy,,Y,Accel,,,,N,,,,,,,,winner_take_most,,medium,other,Infrastructure / satellite network,,,2.0,2.0,,,,,,,,Satellite Communications,,,other,B2B contracts / connectivity services,Engineer/Employee,Founder/CEO,Founder and CEO,"ops,tech",low,,33.3,,2016,,16.0,9.0,
abigail_bennett,,,,1,,,,,,,,,1000.0,,"Alcohol/Beverage (Wine, Beer, Spirits)",,,Y,wealthy,,,,Sanford Health Foundation,,,Y,,,,,,,,fragmented,,,"brand,distribution",Brand portfolio / distribution rights,,,,,,,,,,,,,"Healthcare, children's education, marriage/family initiatives",,financial_services,Credit card interest/fees,,,,,,,,,1945,,,,
abigail_johnson,,52.0,,0,,,,low,Booz Allen Hamilton,,,,200.0,"american,white",Fidelity Investments (founded 1946 by grandfather Edward C. Johnson II),,,Y,wealthy,"Edward ""Ned"" Johnson III (Fidelity CEO 1977-2014, died 2022)",N,,Johnson Family Foundation (implied),,1.0,N,,,,,Y,,,fragmented,#1 or #2 mutual fund company,low,"brand,distribution,scale",Scale / Brand / Distribution / $5T+ AUM,,,,1.0,1.0,,,,,,,"Asset management, mutual funds, fintech","Education, arts, Boston community",,"management_fees,transaction_commission","Asset management fees, brokerage, retirement services ($5T+ AUM)",Consultant,,,"finance,ops",,2.0,29.0,,1946,2.0,,,
adam_foroughi,32,,,1,,Y,,high,Derivatives trading firm,Related Companies,AppLovin,0.01,600.0,"american,iranian",None/Not mentioned,Y,,N,lower_middle,,Y,KKR,Stephen M. Ross Initiative / University of Michigan donations,,,Y,Political donor/supporter,,Bootstrapped,self_funded,,,,winner_take_most,,medium,scale,AI/ML advertising tech / Scale (1.6B DAU),,Trump fundraiser 2019; sparked Equinox/SoulCycle boycott,2.0,3.0,2.0,,Y,fled Iran ~1984,independent,Registered Democrat but donates both; 2019 Trump fundraiser ($12M+ Hamptons) sparked boycott,N,Advertising Technology / AI Ad Tech,"U of Michigan ($478M+ lifetime, largest donor in school history)",Y,"advertising,media_entertainment",AI-driven advertising (AXON technology) + mobile gaming,Derivatives Trader,Founder/CEO,Cofounder & CEO,"finance,tech",,,11.0,,2012,,54.0,2.0,
adam_forste,,,,0,,Y,"Kevin Marchetti (co-executive chairman, similar background)",high,Morgan Stanley,KKR,Lineage,,4.5,,Casinos and media,,,N,wealthy,Media/Business mogul (casino and media empire),,KKR,Packer Family Foundation,,,N,,,,,,,,,,medium,,,,,1.0,1.0,,,,,,,,,Mental health research,,,,Investment Banking,Private Equity,Co-Founder / Co-Executive Chairman,,,,19.0,,2008,,,18.0,
adam_neumann,31,,,1,,Y,Architecture/Design (Miguel McKelvey),medium,Baby overall business (knee-pad overalls),,,,,"american,israeli",Baby clothing (overalls with knee pads),Y,166 2nd Financial Services,N,wealthy,CEO/President of Tamko (roofing manufacturer),Y,,,,,N,,,Venture Capital,venture_capital,N,"WeWork (failed IPO 2019, bankruptcy 2023)",Lawyers criticized WeWork for ignoring Neumann's inquiries about buying back the company,fragmented,,high,"brand,scale",Brand/Scale,,Libertarian; critic of Donald Trump; given millions to Missouri Republicans,1.0,3.0,1.0,,Y,,republican,,N,Real estate / coworking,,Y,saas_subscription,Subscription/Lease arbitrage,Founder/Operator,,,"ops,sales",low,,,N,2010,32.0,,,
adam_norwitt,,,,0,,,,,,,,,1850.0,"american,white",,,,N,,,Y,,Wyss Foundation,,,N,,,,,,,,,,low,,,,,,1.0,,,,,,,,,"Conservation, medical research, biologically inspired engineering",,telecom,"Electronic connectors, sensors, interconnect systems (defense, auto, broadband, mobile)",,,,,,,100.0,,,,,,
adarsh_hiremath,22,22.0,,1,,Y,"CEO (Foody), COO/Chairman (Midha)",low,,,,,,"american,white",,Y,Baupost Group,N,,,N,,,,,N,,Jewish heritage,,,,,,fragmented,,low,reputation,Reputation/Track Record,,Anti-Trump Republican; denounced Trump 2016; shifted donations to Democratic Party,2.0,1.0,,,,,democrat,centrist (anti-Trump Republican donor,,AI/Recruiting Technology,"Scientific research, music education access, Israel-related causes",,platform_marketplace,Platform/Marketplace,,,,tech,low,,22.0,,2023,,,,2.0
adebayo_ogunlesi,41,,,4,,Y,,low,"Cravath, Swaine & Moore",Credit Suisse First Boston (Head of Global Investment Banking),Global Infrastructure Partners (GIP),,,"american,nigerian",,,,N,wealthy,"Chief surgeon, first Nigerian professor of medicine",Y,,,,,,,,Private Equity / Institutional Capital,private_equity,,,,winner_take_most,,low,"reputation,scale",Scale / Specialized Domain Expertise,,,,1.0,1.0,graduate_professional,Y,,,,,Infrastructure Private Equity / Investment Banking,"Transgender rights, rare disease research, xenotransplantation",,"construction,management_fees","Infrastructure PE ($100B+ AUM; sold to BlackRock $12.5B, 2024)",Attorney,Various roles to Head of Global Investment Banking,"Co-Founder, Chairman and CEO",finance,,26.0,,,2006,,23.0,,
aerin_lauder,42,,22.0,0,0.0,N,,high,Estée Lauder,Estée Lauder (Board),AERIN,,,"american,jewish",Beauty/cosmetics (Estée Lauder),Y,,Y,wealthy,Billionaire investor/businessman (Ronald Lauder),N,,,,,N,,,Family/self-funded (implied),self_funded,Y,,,fragmented,,high,brand,Brand,,,0.0,1.0,1.0,college,N,,republican,,N,Brand/lifestyle/beauty,"Arts, breast cancer research",N,product_sales,Product sales (luxury lifestyle goods),Style and Image Director,Board Member,Founder,"brand,sales",medium,20.0,,,2012,34.0,12.0,14.0,
alain_wertheimer,,,,0,0.0,,,high,Flight attendant (airline),Airline (flight attendant),,,,"american,french",Luxury fashion/goods,Y,Cuna del Mar,Y,wealthy,Lewis Tallant,Y,,Cuna del Mar,,,N,,,,,,,,,,low,,,,Anti-Trump; backed Lincoln Project 2020; signed anti-Trump NYT ad Jun 2025,,1.0,1.0,,,,independent,Mixed (Lincoln Project $30K; co-hosted Harris fundraiser; anti-Trump NYT ad Jun 2025),,Investing/Philanthropy,"Sustainable seafood, anti-Trump political causes",N,,,Flight Attendant,Flight Attendant,,,low,,16.7,,2010,,,,
alan_b_miller,,,,0,1.0,,,,Coca-Cola Consolidated,,,,,,Beverage bottling (Coca-Cola),,,N,wealthy,"CEO/Chairman, Coca-Cola Consolidated",N,Accel,Open Eyes,,,,,,,,,,,,,medium,,,,,,2.0,,,,,,,,Beverage distribution and bottling operations,Christian missionary / relief work,,healthcare,Healthcare services / fee-for-service,Route runner / bottling line operator,,,ops,,,,,1979,49.0,,,
alan_gerry,28,,,,,N,,high,Television repair shop,Cablevision Industries,,,,"american,jewish",,Y,Granite Associates,N,working,,N,,Bethel Woods Center for the Arts,,,N,,,Bootstrapped,self_funded,,,,,,high,other,Infrastructure/Regional monopoly,,,0.0,2.0,1.0,,,,republican,,N,Cable television / communications,Arts and culture,,saas_subscription,Subscription,Owner,Founder/Owner,,"ops,sales",low,,,,1956,,40.0,,40.0
alan_trefler,27,,22.0,1,,N,Husband J.B. Hunt,low,Father's antique restoration company,Pegasystems,,,5.0,"american,jewish",Antique restoration,,,N,lower_middle,Antique restoration business owner,N,,Trefler Foundation,,,N,,,Personal savings and loans,self_funded,,,,,,low,switching_costs,Switching costs / Enterprise lock-in,,,1.0,1.0,,,,Holocaust survivor (father),,,N,Enterprise software / process automation,"Public education, health care in Boston",,other,CRM/BPM/AI decisioning software ($1.6B revenue),Worker/Assistant (teen),Founder/CEO,,tech,low,,19.0,,1983,39.0,43.0,,
alan_zekelman,,,22.0,0,,Y,Brothers Barry and Clayton Zekelman,,,Willow Labs,Like Minded Labs,,,"american,iranian",Steel pipe and tube manufacturing,,,Y,wealthy,Engineer,Y,,,,,,,,,,,,,fragmented,,,,,,,2.0,3.0,,college,Y,"Iran to USA, 1974",,,,,,,,,,Executive Chairman,Chairman,,,,33.3,,,,,,
albert_chao,,,,0,2.0,Y,,,,,,,,"american,taiwanese",Petrochemicals / Plastics manufacturing,,,N,,"Founder, Westlake Corporation",Y,,,,,,,,,,,,,,,medium,,,,,2.0,1.0,,,Y,father T.T. Chao moved family from Taiwan to U.S.,,,,Consumer Electronics / Streaming Technology,,,,,,,,tech,,,,,1986,,,,
albert_nahmad,34,,,0,2.0,N,,,Watsco,,,,50.0,"american,panamanian",HVAC/Refrigeration Distribution,,,N,,,Y,,Nahmad Family Foundation,,,N,U.S. Army (veteran),,,,N,,Antitrust lawsuit related to HVAC distribution,fragmented,,low,scale,Scale / Acquisition-driven network,,,,1.0,,,Y,from Panama,,,,Distribution / M&A,Engineering education,,other,Product Distribution,CEO / Investor,,,"finance,ops",low,,,,1973,53.0,,,
