company,time,operating_margin_pct
AAON,2009,17.8
AAON,2010,13.4
AAON,2011,8.3
AAON,2012,14.6
AAON,2013,17.4
AAON,2014,19.1
AAON,2015,19.9
AAON,2016,20.7
AAON,2017,18.3
AAPL,2016,27.8
AAPL,2017,26.8
AAPL,2018,26.7
ABBV,2016,36.4
ABBV,2017,33.8
ABBV,2018,19.5
ABBV,2019,39.0
ABBV,2020,24.8
ABBV,2021,31.9
ABBV,2022,31.2
ABBV,2023,23.5
ABBV,2024,16.2
ABBV,2025,24.6
ABNB,2019,-10.4
ABNB,2021,7.2
ABNB,2022,21.5
ABNB,2023,15.3
ABNB,2024,23.0
ABNB,2025,20.8
ADBE,2007,27.2
ADBE,2008,28.7
ADBE,2009,23.4
ADBE,2010,26.1
ADBE,2011,26.1
ADBE,2012,26.8
ADBE,2013,10.4
ADBE,2014,10.0
ADBE,2015,18.8
ADBE,2016,25.5
ADBE,2017,29.7
ADBE,2018,31.5
ADBE,2019,29.3
ADBE,2020,32.9
ADBE,2021,36.8
ADBE,2022,34.6
ADBE,2023,34.3
ADBE,2024,31.3
ADBE,2025,36.6
AFRM,2019,-48.2
AFRM,2020,-21.2
AFRM,2021,-43.6
AFRM,2022,-64.2
AFRM,2023,-75.6
AFRM,2024,-26.5
AFRM,2025,-2.7
AGEN,2012,-42.2
AI,2019,-39.3
AI,2020,-45.6
AI,2021,-32.9
AI,2022,-77.6
AI,2025,-83.4
ALAB,2022,-75.4
ALAB,2023,-25.5
ALAB,2024,-29.3
ALAB,2025,20.3
ALIT,2019,10.4
ALIT,2020,5.4
ALIT,2022,-0.4
ALIT,2023,-3.0
ALIT,2024,-3.9
AMCX,2017,25.7
AMCX,2018,24.5
AMCX,2019,1.4
AMCX,2020,2.9
AMCX,2021,15.9
AMCX,2022,2.8
AMCX,2023,14.3
AMCX,2024,-1.6
AMCX,2025,5.8
AMD,2016,-8.6
AMD,2017,2.4
AMD,2018,0.4
AMD,2019,5.2
AMD,2020,5.8
AMD,2021,22.2
AMD,2022,5.4
AMD,2023,1.8
AMD,2024,7.4
AMD,2025,10.7
AMS,2016,17.6
AMS,2017,12.3
AMS,2018,9.4
AMZN,2016,3.1
AMZN,2017,2.3
AMZN,2018,1.6
AMZN,2019,1.4
AMZN,2020,1.8
AMZN,2021,5.3
AMZN,2022,2.4
AMZN,2023,6.4
AMZN,2024,10.8
AMZN,2025,11.2
AN,2008,-9.7
AN,2009,3.8
AN,2010,4.0
AN,2011,4.1
AN,2012,4.1
AN,2013,4.2
AN,2014,4.3
AN,2015,4.2
AN,2016,4.1
AN,2017,3.9
AN,2018,3.6
AN,2019,3.9
AN,2020,2.8
AN,2021,7.4
AN,2022,7.5
AN,2023,6.1
AN,2024,4.9
AN,2025,4.5
ANET,2016,21.6
ANET,2017,28.6
ANET,2018,9.0
ANET,2019,7.3
ANET,2020,8.4
ANET,2021,31.4
ANET,2022,34.9
ANET,2023,38.5
ANET,2024,42.0
ANET,2025,42.8
ANGX,2023,6.1
ANGX,2024,-89.8
ANGX,2025,-51.0
AON,2007,13.9
AON,2008,12.5
AON,2009,13.4
AON,2010,5.0
AON,2011,3.9
AON,2012,4.0
AON,2013,4.4
AON,2014,5.3
AON,2015,6.1
AON,2016,4.9
AON,2017,4.9
AON,2018,4.6
APAM,2011,33.9
APAM,2012,9.3
APAM,2013,8.5
APAM,2014,9.4
APAM,2015,8.2
APAM,2016,8.1
APAM,2017,10.2
APAM,2018,36.8
APAM,2019,35.5
APAM,2020,39.8
APAM,2021,44.0
APAM,2022,34.6
APAM,2023,31.1
APAM,2024,33.0
APAM,2025,33.4
APH,2016,19.2
APH,2017,20.4
APH,2018,5.6
APH,2019,5.2
APH,2020,5.7
APH,2021,19.4
APH,2022,20.5
APH,2023,20.4
APH,2024,20.7
APH,2025,25.4
APP,2019,19.6
APP,2020,-4.3
APP,2021,5.4
APP,2022,-1.7
APP,2023,19.7
APP,2024,39.8
APP,2025,75.8
ARRY,2018,-21.0
ARRY,2019,12.9
ARRY,2020,10.9
ARRY,2021,-2.9
ARRY,2022,-1.1
ARRY,2023,13.6
ARRY,2024,-24.8
ARRY,2025,-2.3
AVGO,2016,-3.1
AVGO,2017,4.3
AVGO,2018,7.9
AXON,2016,11.9
AXON,2017,3.8
AXON,2018,5.9
AXON,2019,-1.2
AXON,2020,-2.1
AXON,2021,-19.5
AXON,2022,7.8
AXON,2023,9.9
AXON,2024,2.8
AXON,2025,-2.2
AXP,2008,12.6
AXP,2009,11.6
AXSM,2023,-85.7
AXSM,2024,-72.7
AXSM,2025,-26.1
BATL,2009,-64.1
BATL,2010,22.9
BATL,2011,22.2
BATL,2012,-12.0
BATL,2014,-5.1
BATL,2018,40.7
BATL,2021,36.2
BATL,2022,42.4
BATL,2023,8.0
BATL,2024,-6.1
BBWI,2018,13.7
BBWI,2019,9.3
BBWI,2020,0.6
BBWI,2021,13.5
BBWI,2022,11.2
BBWI,2023,18.2
BBWI,2024,17.3
BBWI,2025,17.3
BBWI,2026,15.4
BBY,2017,4.7
BBY,2018,4.4
BBY,2019,2.3
BBY,2020,4.6
BBY,2021,5.1
BBY,2022,5.9
BBY,2023,3.9
BBY,2024,3.6
BBY,2025,3.0
BEN,2007,33.3
BEN,2008,34.8
BEN,2009,28.7
BEN,2010,33.5
BEN,2011,37.3
BEN,2012,35.4
BEN,2013,36.6
BEN,2014,37.9
BEN,2015,38.1
BEN,2016,35.7
BEN,2017,35.4
BEN,2018,33.5
BEN,2019,27.0
BFS,2009,28.1
BFS,2010,27.0
BFS,2011,19.5
BFS,2012,4.8
BFS,2013,6.2
BFS,2014,5.9
BFS,2015,6.7
BFS,2016,6.2
BFS,2017,6.3
BFS,2018,6.8
BFS,2019,6.5
BFS,2020,5.2
BFS,2022,73.4
BFS,2023,73.6
BFS,2024,75.8
BFS,2025,67.4
BJRI,2017,6.2
BJRI,2018,1.1
BJRI,2019,1.4
BJRI,2020,-2.6
BJRI,2021,-1.5
BJRI,2023,-0.4
BJRI,2024,1.0
BJRI,2025,3.3
BKE,2017,15.7
BKE,2018,14.7
BKE,2019,13.7
BKE,2020,14.6
BKE,2021,18.6
BKE,2022,25.9
BKE,2023,24.4
BKE,2024,21.5
BKE,2025,19.8
BLK,2022,57.7
BLK,2023,57.0
BLK,2024,59.2
BRKR,2009,12.3
BRKR,2010,11.9
BRKR,2011,3.3
BRKR,2012,2.2
BRKR,2013,3.3
BRKR,2014,2.5
BRKR,2015,4.4
BRKR,2016,4.8
BRKR,2017,5.3
BRKR,2018,5.6
BROS,2019,12.7
BROS,2020,3.4
BROS,2021,-22.8
BROS,2022,-0.4
BROS,2023,4.8
BROS,2024,8.3
BROS,2025,9.8
BSX,2012,-55.6
BSX,2013,1.7
BSX,2014,-4.0
BSX,2015,-4.1
BSX,2016,4.9
BSY,2018,17.5
BSY,2019,5.8
BXP,2007,22.7
BXP,2008,39.3
BXP,2009,16.5
BXP,2010,39.4
BXP,2011,35.2
BXP,2012,34.7
BXP,2013,31.8
BXP,2014,33.5
BXP,2015,34.1
BXP,2016,32.4
BXP,2017,34.9
BYD,2016,11.8
BYD,2017,3.4
BYD,2018,3.6
BYND,2017,-87.7
BYND,2018,-31.8
BYND,2019,-0.3
BYND,2020,-6.0
BYND,2021,-37.6
BYND,2022,-81.8
BYND,2023,-99.6
BYND,2024,-47.8
CAI,2024,-62.4
CAI,2025,5.6
CARG,2015,-2.6
CARG,2016,4.3
CARG,2017,4.8
CCL,2007,20.9
CCL,2008,18.6
CCL,2009,16.4
CCL,2014,11.2
CCL,2015,16.4
CCL,2016,18.7
CCL,2017,16.0
CCL,2018,17.6
CDRE,2020,12.3
CDRE,2021,12.1
CDRE,2022,3.7
CDRE,2023,11.7
CDRE,2024,11.8
CDRE,2025,11.0
CHCI,2017,-10.6
CHCI,2018,-9.0
CHCI,2019,9.0
CHCI,2020,8.9
CHCI,2021,16.3
CHCI,2022,20.2
CHCI,2023,20.5
CHCI,2024,20.1
CHCI,2025,19.0
CMCSA,2007,18.0
CMCSA,2008,19.6
CMCSA,2009,20.2
CMCSA,2010,5.3
CMCSA,2011,5.2
CMCSA,2012,5.3
CMCSA,2013,5.6
CMCSA,2014,5.5
CMCSA,2015,5.4
CMCSA,2016,5.3
CMCSA,2017,4.9
CMCSA,2018,4.8
CMCSA,2019,4.8
CMCSA,2020,3.8
CMCSA,2021,17.9
CMCSA,2022,11.6
CMCSA,2023,19.2
CMG,2016,0.9
CMG,2017,6.0
CMG,2018,0.8
CMG,2019,1.8
CMG,2020,2.0
CMG,2021,10.7
CMG,2022,13.4
CMG,2023,15.8
CMG,2024,16.9
CMG,2025,16.2
COIN,2019,-8.6
COIN,2020,32.0
COIN,2021,39.2
COIN,2022,-84.8
COIN,2023,-5.2
COIN,2024,35.1
COIN,2025,20.0
COKE,2017,2.4
COKE,2018,0.3
COKE,2019,0.8
COKE,2020,1.9
COKE,2021,7.9
COKE,2022,10.3
COKE,2023,12.5
COKE,2024,13.3
COKE,2025,13.2
COLM,2016,10.8
COLM,2017,10.7
COLM,2018,12.5
COLM,2019,13.0
CPAY,2016,41.2
CPAY,2017,39.3
CPAY,2018,11.7
CPAY,2019,12.1
CPAY,2020,12.3
CPAY,2021,12.0
CPAY,2022,42.2
CPAY,2023,44.1
CPAY,2024,45.0
CPAY,2025,44.0
CPB,2017,24.5
CPB,2018,15.3
CPB,2019,12.1
CPB,2020,12.7
CPB,2021,18.2
CPB,2022,13.6
CPB,2023,14.0
CPB,2024,10.4
CPB,2025,11.0
CPNG,2019,-10.2
CPNG,2020,-4.3
CPNG,2021,-8.1
CPNG,2022,-0.5
CPNG,2023,1.9
CPNG,2024,1.4
CPNG,2025,1.4
CPRT,2014,23.6
CPRT,2015,30.1
CPRT,2016,8.4
CPRT,2017,7.7
CPRT,2018,7.5
CRCL,2023,18.6
CRCL,2024,10.0
CRCL,2025,-3.5
CRDO,2020,3.8
CRDO,2021,-43.0
CRDO,2022,-20.6
CRDO,2023,-11.5
CRDO,2024,-19.2
CRDO,2025,8.5
CRGY,2019,20.9
CRGY,2020,-49.5
CRGY,2021,10.9
CRGY,2022,42.0
CRGY,2023,13.6
CRGY,2024,7.5
CRGY,2025,6.4
CRK,2010,-3.4
CRK,2011,-9.5
CRK,2012,-22.4
CRK,2013,-5.8
CRK,2014,-14.5
CRM,2008,2.7
CRM,2009,5.9
CRM,2010,2.0
CRM,2011,-0.0
CRM,2012,-0.3
CRM,2013,-0.7
CRM,2014,-2.5
CRM,2015,-0.6
CRM,2016,0.3
CRM,2017,-0.3
CRWD,2019,-54.8
CRWD,2020,-30.3
CRWD,2021,-10.6
