person,time,operating_margin_pct
a_jayson_adair,2014,23.6
a_jayson_adair,2015,30.1
a_jayson_adair,2016,8.4
a_jayson_adair,2017,7.7
a_jayson_adair,2018,7.5
abigail_bennett,2017,32.6
abigail_bennett,2018,30.1
abigail_bennett,2019,29.7
abigail_bennett,2020,25.8
abigail_bennett,2021,32.4
abigail_bennett,2022,26.4
abigail_bennett,2023,30.1
abigail_bennett,2024,31.8
abigail_bennett,2025,3.5
adam_foroughi,2019,19.6
adam_foroughi,2020,-4.3
adam_foroughi,2021,5.4
adam_foroughi,2022,-1.7
adam_foroughi,2023,19.7
adam_foroughi,2024,39.8
adam_foroughi,2025,75.8
adam_forste,2023,7.5
adam_forste,2024,-6.8
adam_forste,2025,3.4
adam_norwitt,2016,19.2
adam_norwitt,2017,20.4
adam_norwitt,2018,5.6
adam_norwitt,2019,5.2
adam_norwitt,2020,5.7
adam_norwitt,2021,19.4
adam_norwitt,2022,20.5
adam_norwitt,2023,20.4
adam_norwitt,2024,20.7
adam_norwitt,2025,25.4
adebayo_ogunlesi,2022,57.7
adebayo_ogunlesi,2023,57.0
adebayo_ogunlesi,2024,59.2
aerin_lauder,2017,14.4
aerin_lauder,2018,2.0
aerin_lauder,2019,1.5
aerin_lauder,2020,-3.8
aerin_lauder,2021,16.1
aerin_lauder,2022,17.9
aerin_lauder,2023,9.5
aerin_lauder,2024,6.2
aerin_lauder,2025,-5.5
alain_wertheimer,2008,5.8
alain_wertheimer,2009,5.6
alain_wertheimer,2010,5.9
alain_wertheimer,2011,6.1
alain_wertheimer,2012,5.9
alain_wertheimer,2013,5.9
alain_wertheimer,2014,5.6
alain_wertheimer,2015,5.6
alain_wertheimer,2016,5.0
alain_wertheimer,2017,4.7
alain_wertheimer,2018,4.1
alain_wertheimer,2019,4.3
alain_wertheimer,2020,3.9
alain_wertheimer,2021,4.0
alain_wertheimer,2022,4.5
alain_wertheimer,2023,3.3
alain_wertheimer,2024,4.2
alain_wertheimer,2025,4.3
alain_wertheimer,2026,4.2
alan_b_miller,2016,13.1
alan_b_miller,2017,12.3
alan_b_miller,2018,10.9
alan_b_miller,2019,10.7
alan_b_miller,2020,11.8
alan_b_miller,2021,10.8
alan_b_miller,2022,7.5
alan_b_miller,2023,8.2
alan_b_miller,2024,10.6
alan_b_miller,2025,11.5
alan_gerry,2016,28.9
alan_gerry,2017,20.7
alan_gerry,2018,22.4
alan_gerry,2021,29.3
alan_gerry,2022,19.9
alan_gerry,2023,25.1
alan_gerry,2024,32.1
alan_gerry,2025,35.3
alan_trefler,2009,15.8
alan_trefler,2010,-0.8
alan_trefler,2011,0.9
alan_trefler,2012,6.0
alan_trefler,2013,4.8
alan_trefler,2014,5.0
alan_trefler,2015,5.4
alan_zekelman,2009,23.2
alan_zekelman,2010,23.6
alan_zekelman,2011,4.6
alan_zekelman,2012,4.5
alan_zekelman,2013,2.3
alan_zekelman,2015,5.6
alan_zekelman,2016,44.7
alan_zekelman,2017,7.4
alan_zekelman,2018,6.3
alan_zekelman,2019,6.6
alan_zekelman,2021,22.4
alan_zekelman,2022,6.2
albert_chao,2013,79.9
albert_chao,2016,79.9
albert_chao,2017,15.2
albert_chao,2018,2.4
albert_chao,2019,1.3
albert_chao,2020,2.4
albert_chao,2021,23.8
albert_chao,2022,19.3
albert_chao,2023,5.8
albert_chao,2024,7.2
albert_chao,2025,-14.1
albert_nahmad,2008,5.8
albert_nahmad,2009,4.0
albert_nahmad,2010,5.8
albert_nahmad,2011,6.7
albert_nahmad,2012,6.6
albert_nahmad,2013,7.2
albert_nahmad,2014,7.8
albert_nahmad,2015,8.2
albert_nahmad,2016,8.2
albert_nahmad,2017,8.2
albert_nahmad,2018,8.2
albert_nahmad,2019,7.7
albert_nahmad,2020,7.9
albert_nahmad,2021,10.0
albert_nahmad,2022,11.4
albert_nahmad,2023,10.9
albert_nahmad,2024,10.3
albert_nahmad,2025,10.0
alex_behring,2014,14.4
alex_behring,2016,23.2
alex_behring,2017,25.8
alex_shevchenko,2019,-77.6
alex_shevchenko,2021,-26.7
alex_shevchenko,2022,-8.5
alex_shevchenko,2023,5.4
alex_shevchenko,2024,10.8
alex_shevchenko,2025,31.6
alexander_karp,2019,-77.6
alexander_karp,2021,-26.7
alexander_karp,2022,-8.5
alexander_karp,2023,5.4
alexander_karp,2024,10.8
alexander_karp,2025,31.6
alexis_le_quoc,2017,-2.9
alexis_le_quoc,2018,-5.6
alexis_le_quoc,2019,-5.6
alexis_le_quoc,2020,-2.3
alexis_le_quoc,2021,-1.9
alexis_le_quoc,2022,-3.5
alexis_le_quoc,2023,-1.6
alexis_le_quoc,2024,2.0
alexis_le_quoc,2025,-1.3
alfred_west_jr,2008,39.8
alfred_west_jr,2009,34.3
alfred_west_jr,2010,24.1
alfred_west_jr,2011,21.9
alfred_west_jr,2012,21.3
alfred_west_jr,2013,22.1
alfred_west_jr,2014,27.9
alfred_west_jr,2015,26.8
alfred_west_jr,2016,26.8
alfred_west_jr,2017,26.0
alfred_west_jr,2018,27.2
alfred_west_jr,2019,27.9
alfred_west_jr,2020,26.5
alfred_west_jr,2021,28.8
alfred_west_jr,2022,23.9
alfred_west_jr,2023,22.1
alfred_west_jr,2024,26.0
alfred_west_jr,2025,27.3
alice_walton,2008,5.8
alice_walton,2009,5.6
alice_walton,2010,5.9
alice_walton,2011,6.1
alice_walton,2012,5.9
alice_walton,2013,5.9
alice_walton,2014,5.6
alice_walton,2015,5.6
alice_walton,2016,5.0
alice_walton,2017,4.7
alice_walton,2018,4.1
alice_walton,2019,4.3
alice_walton,2020,3.9
alice_walton,2021,4.0
alice_walton,2022,4.5
alice_walton,2023,3.3
alice_walton,2024,4.2
alice_walton,2025,4.3
alice_walton,2026,4.2
amos_hostetter,2007,17.2
amos_hostetter,2008,-1.4
amos_hostetter,2009,17.5
amos_hostetter,2010,1.7
amos_hostetter,2011,-7.1
amos_hostetter,2012,-4.7
amos_hostetter,2013,9.5
amos_hostetter,2014,-4.2
amos_hostetter,2015,5.1
amos_hostetter,2016,2.6
amos_hostetter,2017,0.2
amos_hostetter,2018,3.6
amos_hostetter,2019,2.9
amos_hostetter,2020,3.7
amos_hostetter,2021,13.8
amos_hostetter,2022,-17.5
amos_hostetter,2023,4.3
amos_hostetter,2024,15.6
amos_hostetter,2025,19.2
andrew_bialecki,2021,-27.3
andrew_bialecki,2022,-11.6
andrew_bialecki,2023,-47.4
andrew_bialecki,2024,-9.0
andrew_bialecki,2025,-5.5
andrew_karam,2019,19.6
andrew_karam,2020,-4.3
andrew_karam,2021,5.4
andrew_karam,2022,-1.7
andrew_karam,2023,19.7
andrew_karam,2024,39.8
andrew_karam,2025,75.8
andy_fang,2018,-72.2
andy_fang,2019,-69.6
andy_fang,2020,-15.1
andy_fang,2021,-9.2
andy_fang,2022,-17.1
andy_fang,2023,-6.7
andy_fang,2024,-0.4
andy_fang,2025,5.3
andy_jassy,2016,3.1
andy_jassy,2017,2.3
andy_jassy,2018,1.6
andy_jassy,2019,1.4
andy_jassy,2020,1.8
andy_jassy,2021,5.3
andy_jassy,2022,2.4
andy_jassy,2023,6.4
andy_jassy,2024,10.8
andy_jassy,2025,11.2
andy_konwinski,2017,3.8
andy_konwinski,2018,0.0
andy_konwinski,2019,4.8
andy_konwinski,2020,0.5
andy_konwinski,2021,2.2
andy_konwinski,2022,15.6
andy_konwinski,2023,11.6
andy_konwinski,2024,8.0
andy_konwinski,2025,7.6
andy_mills,2023,5.4
andy_mills,2024,8.4
andy_mills,2025,7.8
andy_von_bechtolsheim,2016,21.6
andy_von_bechtolsheim,2017,28.6
andy_von_bechtolsheim,2018,9.0
andy_von_bechtolsheim,2019,7.3
andy_von_bechtolsheim,2020,8.4
andy_von_bechtolsheim,2021,31.4
andy_von_bechtolsheim,2022,34.9
andy_von_bechtolsheim,2023,38.5
andy_von_bechtolsheim,2024,42.0
andy_von_bechtolsheim,2025,42.8
aneel_bhusri,2010,-82.4
aneel_bhusri,2012,-17.2
aneel_bhusri,2013,-11.2
aneel_bhusri,2014,-32.7
aneel_bhusri,2015,-6.4
aneel_bhusri,2016,-6.3
aneel_bhusri,2017,-6.8
aneel_bhusri,2018,-3.8
anita_zucker,2016,17.6
anita_zucker,2017,12.3
anita_zucker,2018,9.4
ann_walton_kroenke,2008,5.8
ann_walton_kroenke,2009,5.6
ann_walton_kroenke,2010,5.9
ann_walton_kroenke,2011,6.1
ann_walton_kroenke,2012,5.9
ann_walton_kroenke,2013,5.9
ann_walton_kroenke,2014,5.6
ann_walton_kroenke,2015,5.6
ann_walton_kroenke,2016,5.0
ann_walton_kroenke,2017,4.7
ann_walton_kroenke,2018,4.1
ann_walton_kroenke,2019,4.3
ann_walton_kroenke,2020,3.9
ann_walton_kroenke,2021,4.0
ann_walton_kroenke,2022,4.5
ann_walton_kroenke,2023,3.3
ann_walton_kroenke,2024,4.2
ann_walton_kroenke,2025,4.3
ann_walton_kroenke,2026,4.2
anthony_wood,2016,-10.9
anthony_wood,2017,-3.8
anthony_wood,2018,-1.8
anthony_wood,2019,-5.8
anthony_wood,2020,-1.1
anthony_wood,2021,8.5
anthony_wood,2022,-17.0
anthony_wood,2023,-22.7
anthony_wood,2024,-5.3
anthony_wood,2025,-0.1
antonio_gracias,2009,-46.4
antonio_gracias,2012,-95.4
antonio_gracias,2013,-3.0
antonio_gracias,2014,-5.8
antonio_gracias,2015,-17.7
antonio_gracias,2016,-9.5
antonio_gracias,2017,-13.9
antonio_gracias,2018,-1.8
antonio_gracias,2019,-0.3
antonio_gracias,2020,6.3
antonio_gracias,2021,12.1
antonio_gracias,2022,16.8
antonio_gracias,2023,9.2
antonio_gracias,2024,7.2
antonio_gracias,2025,4.6
aravind_srinivas,2018,-35.9
aravind_srinivas,2020,18.7
aravind_srinivas,2023,-59.5
art_levinson,2013,27.7
art_levinson,2014,25.0
art_levinson,2015,25.8
art_levinson,2016,26.3
art_levinson,2017,23.6
art_levinson,2018,20.1
art_levinson,2019,21.1
art_levinson,2020,22.6
art_levinson,2021,30.6
art_levinson,2023,27.4
art_levinson,2024,32.1
art_levinson,2025,32.0
arthur_blank,2008,9.4
arthur_blank,2009,6.1
arthur_blank,2010,7.3
arthur_dantchik,2013,27.7
arthur_dantchik,2014,25.0
arthur_dantchik,2015,25.8
arthur_dantchik,2016,26.3
arthur_dantchik,2017,23.6
arthur_dantchik,2018,20.1
arthur_dantchik,2019,21.1
arthur_dantchik,2020,22.6
arthur_dantchik,2021,30.6
arthur_dantchik,2023,27.4
arthur_dantchik,2024,32.1
arthur_dantchik,2025,32.0
arturo_moreno,2013,27.7
arturo_moreno,2014,25.0
arturo_moreno,2015,25.8
arturo_moreno,2016,26.3
arturo_moreno,2017,23.6
arturo_moreno,2018,20.1
arturo_moreno,2019,21.1
arturo_moreno,2020,22.6
arturo_moreno,2021,30.6
arturo_moreno,2023,27.4
arturo_moreno,2024,32.1
arturo_moreno,2025,32.0
arvid_lunnemark,2016,36.4
arvid_lunnemark,2017,33.8
arvid_lunnemark,2018,19.5
arvid_lunnemark,2019,39.0
arvid_lunnemark,2020,24.8
arvid_lunnemark,2021,31.9
arvid_lunnemark,2022,31.2
arvid_lunnemark,2023,23.5
arvid_lunnemark,2024,16.2
arvid_lunnemark,2025,24.6
assaf_rappaport,2007,-1.5
assaf_rappaport,2008,-10.1
assaf_rappaport,2009,-0.7
assaf_rappaport,2010,2.0
assaf_rappaport,2011,3.4
assaf_rappaport,2012,4.9
assaf_rappaport,2013,4.7
assaf_rappaport,2014,-24.8
assaf_rappaport,2015,6.8
assaf_rappaport,2016,6.7
assaf_rappaport,2017,8.0
august_troendle,2016,12.5
august_troendle,2017,14.9
august_troendle,2018,4.4
august_troendle,2019,4.2
august_troendle,2020,18.0
august_troendle,2021,17.4
august_troendle,2022,19.1
august_troendle,2023,17.9
august_troendle,2024,21.2
august_troendle,2025,21.1
b_wayne_hughes_jr,2010,42.1
b_wayne_hughes_jr,2011,43.5
b_wayne_hughes_jr,2012,47.7
b_wayne_hughes_jr,2013,48.6
b_wayne_hughes_jr,2014,48.7
b_wayne_hughes_jr,2015,51.7
b_wayne_hughes_jr,2016,53.7
b_wayne_hughes_jr,2017,53.3
barbara_tyson,2016,7.7
barbara_tyson,2017,7.6
barbara_tyson,2018,2.1
barbara_tyson,2019,1.4
barbara_tyson,2020,2.2
barbara_tyson,2021,9.3
barbara_tyson,2022,8.3
barbara_tyson,2023,-0.7
barbara_tyson,2024,2.6
barbara_tyson,2025,2.0
barry_bentley,2018,17.5
barry_bentley,2019,5.8
barry_diller,2018,1.4
barry_diller,2019,0.2
barry_diller,2020,-0.8
barry_diller,2021,-3.7
barry_diller,2022,-9.1
