company,time,revenue_m
AAON,2009,245.3
AAON,2010,244.6
AAON,2011,266.2
AAON,2012,303.1
AAON,2013,321.1
AAON,2014,356.3
AAON,2015,358.6
AAON,2016,384.0
AAON,2017,405.2
AAPL,2016,215639.0
AAPL,2017,229234.0
AAPL,2018,265595.0
ABBV,2016,25638.0
ABBV,2017,28216.0
ABBV,2018,32753.0
ABBV,2019,33266.0
ABBV,2020,45804.0
ABBV,2021,56197.0
ABBV,2022,58054.0
ABBV,2023,54318.0
ABBV,2024,56334.0
ABBV,2025,61160.0
ABNB,2019,4805.2
ABNB,2020,3378.0
ABNB,2021,5991.8
ABNB,2022,8399.0
ABNB,2023,9917.0
ABNB,2024,11102.0
ABNB,2025,12241.0
ACHR,2025,0.3
ADBE,2007,3157.9
ADBE,2008,3579.9
ADBE,2009,2945.9
ADBE,2010,3800.0
ADBE,2011,4216.3
ADBE,2012,4403.7
ADBE,2013,4055.2
ADBE,2014,4147.1
ADBE,2015,4795.5
ADBE,2016,5854.4
ADBE,2017,7301.5
ADBE,2018,9030.0
ADBE,2019,11171.3
ADBE,2020,12868.0
ADBE,2021,15785.0
ADBE,2022,17606.0
ADBE,2023,19409.0
ADBE,2024,21505.0
ADBE,2025,23769.0
AFRM,2019,264.4
AFRM,2020,509.5
AFRM,2021,870.5
AFRM,2022,1349.3
AFRM,2023,1588.0
AFRM,2024,2323.0
AFRM,2025,3224.4
AGEN,2009,3.3
AGEN,2010,3.4
AGEN,2011,2.8
AGEN,2012,16.0
AGEN,2013,3.0
AGEN,2014,7.0
AGEN,2015,24.8
AGEN,2016,22.6
AGEN,2017,42.9
AI,2019,91.6
AI,2020,156.7
AI,2021,183.2
AI,2022,252.8
AI,2023,266.8
AI,2024,310.6
AI,2025,389.1
AL,2010,58.4
AL,2011,336.7
AL,2012,655.7
AL,2013,858.7
AL,2014,1050.5
AL,2015,1222.8
AL,2016,1419.1
AL,2017,1516.4
AL,2018,1679.7
AL,2019,2016.9
AL,2020,2015.4
AL,2021,2088.4
AL,2022,2317.3
AL,2023,2685.0
AL,2024,2733.7
AL,2025,3015.7
ALAB,2022,79.9
ALAB,2023,115.8
ALAB,2024,396.3
ALAB,2025,852.5
ALIT,2019,2552.0
ALIT,2020,2728.0
ALIT,2022,3132.0
ALIT,2023,3410.0
ALIT,2024,2332.0
ALIT,2025,2262.0
AMCX,2017,2805.7
AMCX,2018,2971.9
AMCX,2019,3060.3
AMCX,2020,2815.0
AMCX,2021,3077.6
AMCX,2022,3096.5
AMCX,2023,2711.9
AMCX,2024,2421.3
AMCX,2025,2311.8
AMD,2016,4319.0
AMD,2017,5253.0
AMD,2018,6475.0
AMD,2019,6731.0
AMD,2020,9763.0
AMD,2021,16434.0
AMD,2022,23601.0
AMD,2023,22680.0
AMD,2024,25785.0
AMD,2025,34639.0
AMS,2016,18.7
AMS,2017,19.6
AMS,2018,19.7
AMZN,2016,135987.0
AMZN,2017,177866.0
AMZN,2018,232887.0
AMZN,2019,280522.0
AMZN,2020,386064.0
AMZN,2021,469822.0
AMZN,2022,513983.0
AMZN,2023,574785.0
AMZN,2024,637959.0
AMZN,2025,716924.0
AN,2008,13238.7
AN,2009,10666.0
AN,2010,12461.0
AN,2011,13832.3
AN,2012,15668.8
AN,2013,17517.6
AN,2014,19108.8
AN,2015,20862.0
AN,2016,21609.0
AN,2017,21534.6
AN,2018,21412.8
AN,2019,21335.7
AN,2020,20390.0
AN,2021,25844.0
AN,2022,26985.0
AN,2023,26948.9
AN,2024,26765.4
AN,2025,27631.4
ANET,2016,1129.2
ANET,2017,1646.2
ANET,2018,2151.4
ANET,2019,2410.7
ANET,2020,2317.5
ANET,2021,2948.0
ANET,2022,4381.3
ANET,2023,5860.2
ANET,2024,7003.1
ANET,2025,9005.7
ANGX,2023,202.4
ANGX,2024,96.5
ANGX,2025,321.6
AON,2007,7234.0
AON,2008,7528.0
AON,2009,7595.0
AON,2010,8512.0
AON,2011,11287.0
AON,2012,11514.0
AON,2013,11815.0
AON,2014,12045.0
AON,2015,11682.0
AON,2016,11627.0
AON,2017,9998.0
AON,2018,10770.0
APAM,2011,455.1
APAM,2012,505.6
APAM,2013,685.8
APAM,2014,828.7
APAM,2015,805.5
APAM,2016,720.9
APAM,2017,795.6
APAM,2018,828.6
APAM,2019,799.0
APAM,2020,899.6
APAM,2021,1227.2
APAM,2022,993.3
APAM,2023,975.1
APAM,2024,1111.8
APAM,2025,1196.7
APH,2016,6286.4
APH,2017,7011.3
APH,2018,8202.0
APH,2019,8225.4
APH,2020,8598.9
APH,2021,10876.3
APH,2022,12623.0
APH,2023,12554.7
APH,2024,15222.7
APH,2025,23094.7
APO,2020,2354.0
APO,2021,5951.0
APO,2022,10968.0
APO,2023,32644.0
APO,2024,26114.0
APO,2025,32049.0
APP,2019,994.1
APP,2020,1451.1
APP,2021,2793.1
APP,2022,2817.1
APP,2023,3283.1
APP,2024,4709.2
APP,2025,5480.7
ARES,2012,334.0
ARES,2013,478.7
ARES,2014,603.9
ARES,2015,814.4
ARES,2016,1199.2
ARES,2017,1415.5
ARES,2018,1218.2
ARES,2019,1433.1
ARES,2020,1753.7
ARES,2021,2288.9
ARES,2022,2880.0
ARES,2023,3236.3
ARES,2024,3690.7
ARES,2025,4755.6
ARRY,2018,290.8
ARRY,2019,647.9
ARRY,2020,872.7
ARRY,2021,853.3
ARRY,2022,1637.5
ARRY,2023,1576.6
ARRY,2024,915.8
ARRY,2025,1284.1
ASTS,2024,4.4
AUR,2019,19.6
AUR,2021,82.5
AUR,2022,68.0
AUR,2025,3.0
AVGO,2016,13240.0
AVGO,2017,17636.0
AVGO,2018,20848.0
AXON,2016,268.2
AXON,2017,343.8
AXON,2018,420.1
AXON,2019,530.9
AXON,2020,681.0
AXON,2021,863.4
AXON,2022,1189.9
AXON,2023,1563.4
AXON,2024,2082.5
AXON,2025,2779.5
AXP,2008,28365.0
AXP,2009,24523.0
AXP,2010,27819.0
AXSM,2022,50.0
AXSM,2023,270.6
AXSM,2024,385.7
AXSM,2025,638.5
BAC,2007,66833.0
BAC,2008,72782.0
BAC,2009,119643.0
BAC,2010,110220.0
BAC,2011,93454.0
BAC,2012,83334.0
BAC,2013,88942.0
BAC,2014,84247.0
BAC,2015,82507.0
BAC,2016,83701.0
BAC,2017,87352.0
BAC,2018,91247.0
BAC,2019,91244.0
BAC,2020,85528.0
BAC,2021,89113.0
BAC,2022,94950.0
BAC,2023,98581.0
BAC,2024,101887.0
BAC,2025,113097.0
BATL,2009,87.1
BATL,2010,112.3
BATL,2011,107.9
BATL,2012,247.9
BATL,2013,999.5
BATL,2014,1148.3
BATL,2015,550.3
BATL,2017,378.0
BATL,2018,226.6
BATL,2020,148.3
BATL,2021,285.2
BATL,2022,359.1
BATL,2023,220.8
BATL,2024,193.9
BBWI,2018,12632.0
BBWI,2019,13237.0
BBWI,2020,12914.0
BBWI,2021,6434.0
BBWI,2022,7882.0
BBWI,2023,7560.0
BBWI,2024,7429.0
BBWI,2025,7307.0
BBWI,2026,7291.0
BBY,2017,39403.0
BBY,2018,42151.0
BBY,2019,42879.0
BBY,2020,43638.0
BBY,2021,47262.0
BBY,2022,51761.0
BBY,2023,46298.0
BBY,2024,43452.0
BBY,2025,41528.0
BEN,2007,6205.8
BEN,2008,6032.4
BEN,2009,4194.1
BEN,2010,5853.0
BEN,2011,7140.0
BEN,2012,7101.0
BEN,2013,7985.0
BEN,2014,8491.4
BEN,2015,7948.7
BEN,2016,6618.0
BEN,2017,6392.2
BEN,2018,6319.1
BEN,2019,5774.5
BFS,2009,161.0
BFS,2010,163.1
BFS,2011,174.4
BFS,2012,190.1
BFS,2013,197.9
BFS,2014,207.1
BFS,2015,209.1
BFS,2016,217.1
BFS,2017,227.3
BFS,2018,227.9
BFS,2019,231.5
BFS,2020,225.2
BFS,2021,239.2
BFS,2022,245.9
BFS,2023,257.2
BFS,2024,268.8
BFS,2025,289.8
BGC,2009,1162.3
BGC,2010,1331.1
BGC,2011,1464.7
BGC,2012,1767.0
BGC,2013,2498.1
BGC,2014,1787.5
BGC,2015,2575.4
BGC,2016,2612.6
BGC,2017,3353.4
BGC,2018,1937.8
BGC,2019,2104.2
BGC,2020,2056.7
BGC,2021,2015.4
BGC,2022,1795.3
BGC,2023,2025.4
