person,ticker,equity_stake_pct,voting_control_pct,total_comp_m,base_salary_k,stock_awards_m
a_jayson_adair,CPRT,3.14,,0.43,0.001,
abel_avellan,ASTS,,,,,
abigail_bennett,STZ,,,,,
adam_foroughi,APP,,,11.2,400.0,10.79
adam_forste,LINE,71.7,,,,
adam_norwitt,APH,,,17.16,1510.0,
adebayo_ogunlesi,BLK,,,,,
aerin_lauder,EL,,,,,
alain_wertheimer,WMT,,,,,
alan_b_miller,UHS,,,0.9,1081.642,
alan_gerry,WT,,,,,
alan_trefler,PEGA,,,,,
alan_zekelman,MASI,,,,,
albert_chao,WLK,,,,,
albert_nahmad,WSO,,,6.38,600.0,5.45
alec_gores,AMBP,,,,,
alejandro_santo_domingo,BUD,,,,,
alex_behring,KHC,,,,,
alex_shevchenko,PLTR,,,,,
alexander_karp,PLTR,,,4.63,1101.637,
alexis_le_quoc,DDOG,,,,,
alfred_west_jr,SEIC,,,,,
ali_ghodsi,BUD,,,,,
alice_walton,WMT,,,,,
amos_hostetter,T,,,,,
andreas_santo_domingo,BUD,,,,,
andrew_bialecki,KVYO,,,0.08,75.0,
andrew_cherng,EWBC,,,,,
andrew_karam,APP,,,,,
andrew_tisch,CNA,,,,,
andy_fang,DASH,,,,,
andy_jassy,AMZN,,,1.6,365.0,
andy_konwinski,SCVL,,,,,
andy_mills,MDLN,,,,,
andy_von_bechtolsheim,ANET,14.63,,,,
aneel_bhusri,WDAY,,,18.1,65.0,14.35
anita_zucker,AMS,,,,,
ann_walton_kroenke,WMT,,,,,
anne_dinning,OXY,,,,,
anthony_wood,ROKU,,,27.7,,
antonio_gracias,TSLA,,,,,
antony_ressler,ARES,,,,,
aravind_srinivas,DNLI,,,,,
art_levinson,GOOGL,,,,,
arthur_blank,HD,,,,,
arthur_dantchik,GOOGL,,,,,
arturo_moreno,GOOGL,,,,,
arvid_lunnemark,ABBV,,,,,
assaf_rappaport,MSI,,,,,
august_troendle,MEDP,,,,,
avram_glazer,CNA,,,,,
b_wayne_hughes_jr,PSA,,,,,
baiju_bhatt,HOOD,,,,,
barbara_tyson,TSN,,,17.52,1212.0,4.93
barry_bentley,BSY,,,16.42,200.0,12.19
barry_diller,IAC,,,3.21,500.0,
barry_sternlicht,STWD,,,,,
behdad_eghbali,SSNC,,,,,
ben_ashkenazy,TKO,,,,,
ben_chestnut,INTU,,,,,
ben_navarro,MDLN,,,,,
ben_silbermann,PINS,,34.54,,,
bennet_rosenthal,ARES,,,,,
bennett_dorrance,CPB,,,,,
benoit_dageville,SNOW,1.5,,,,
bernard_saul_ii,BFS,46.5,,1.38,125.0,1.13
bharat_desai,GSHD,,,,,
bill_gates,MSFT,,,,,
bill_gurley,BABA,,,,,
bill_haslam,RHP,,,,,
bob_iger,DIS,,,45.84,1000.0,21.0
bob_parsons,GDDY,,,,,
bobby_murphy,SNAP,,,,,
bom_suk_kim,CPNG,,,2.07,1100.0,
brad_jacobs,QXO,49.0,,189.37,418.269,188.2
brad_kelley,AGEN,,,,,
brad_keywell,TEM,,,,,
brannin_mcbee,CRWV,,,,,
brett_adcock,ACHR,,,,,
brian_armstrong,COIN,,,7.24,1000.0,
