person,year,rank
a_jayson_adair,2021,2674
a_jayson_adair,2022,2448
a_jayson_adair,2023,2133
a_jayson_adair,2024,1623
a_jayson_adair,2025,1763
a_jerrold_perenchio,2001,151
a_jerrold_perenchio,2002,152
a_jerrold_perenchio,2003,162
a_jerrold_perenchio,2004,186
a_jerrold_perenchio,2005,258
a_jerrold_perenchio,2006,240
a_jerrold_perenchio,2007,287
a_jerrold_perenchio,2008,358
a_jerrold_perenchio,2009,305
a_jerrold_perenchio,2010,463
a_jerrold_perenchio,2011,540
a_jerrold_perenchio,2012,546
a_jerrold_perenchio,2013,589
a_jerrold_perenchio,2014,663
a_jerrold_perenchio,2015,690
a_jerrold_perenchio,2016,666
a_jerrold_perenchio,2017,717
abdul_aziz_al_ghurair,2001,251
abdul_aziz_al_ghurair,2002,234
abdul_aziz_al_ghurair,2003,199
abdul_aziz_al_ghurair,2004,128
abdul_aziz_al_ghurair,2005,143
abdul_aziz_al_ghurair,2006,77
abdul_aziz_al_ghurair,2007,86
abdul_aziz_al_ghurair,2008,100
abdul_aziz_al_ghurair,2009,57
abdul_aziz_al_ghurair,2010,258
abdul_aziz_al_ghurair,2011,420
abdul_aziz_al_ghurair,2012,401
abdul_majeed_alhokair,2015,1324
abdul_majeed_alhokair,2017,1678
abdul_rasyid,2016,1577
abdulla_al_futtaim,2006,562
abdulla_al_futtaim,2007,287
abdulla_al_futtaim,2008,605
abdulla_al_futtaim,2009,397
abdulla_al_futtaim,2010,880
abdulla_al_futtaim,2011,938
abdulla_al_futtaim,2012,804
abdulla_al_futtaim,2013,922
abdulla_al_futtaim,2014,687
abdulla_al_futtaim,2015,557
abdulla_al_futtaim,2016,549
abdulla_al_futtaim,2017,427
abdulla_al_futtaim,2018,703
abdulla_al_futtaim,2019,916
abdulla_al_futtaim,2020,1001
abdulla_al_futtaim,2021,1444
abdulla_al_futtaim,2022,1238
abdulla_al_futtaim,2023,1272
abdulla_al_futtaim,2024,991
abdulla_al_futtaim,2025,767
abdulla_bin_ahmad_al_ghurair,2013,437
abdulla_bin_ahmad_al_ghurair,2014,305
abdulla_bin_ahmad_al_ghurair,2015,220
abdulla_bin_ahmad_al_ghurair,2016,286
abdulla_bin_ahmad_al_ghurair,2017,202
abdulla_bin_ahmad_al_ghurair,2018,296
abdulla_bin_ahmad_al_ghurair,2019,413
abdulla_bin_ahmad_al_ghurair,2020,494
abdulla_bin_ahmad_al_ghurair,2021,1111
abdulla_bin_ahmad_al_ghurair,2022,1196
abdulla_bin_ahmad_al_ghurair,2023,982
abdulla_bin_ahmad_al_ghurair,2024,809
abdulla_bin_ahmad_al_ghurair,2025,789
abdullah_al_othaim,2025,1462
abdullah_al_rajhi,2006,174
abdullah_al_rajhi,2007,349
abdullah_al_rajhi,2008,349
abdullah_al_rajhi,2009,397
abdullah_al_rajhi,2010,421
abdullah_al_rajhi,2011,459
abdullah_al_rajhi,2012,578
abdullah_al_rajhi,2013,670
abdullah_al_rajhi,2014,731
abdullah_al_rajhi,2015,1054
abdullah_al_rajhi,2016,1275
abdullah_al_rajhi,2017,1098
abdullah_amer_al_nahdi,2025,1573
abdullah_bin_sulaiman_al_rajhi,2025,1462
abdulsamad_rabiu,2014,1372
abdulsamad_rabiu,2015,1741
abdulsamad_rabiu,2016,1577
abdulsamad_rabiu,2019,1425
abdulsamad_rabiu,2020,712
abdulsamad_rabiu,2021,574
abdulsamad_rabiu,2022,350
abdulsamad_rabiu,2023,249
abdulsamad_rabiu,2024,581
abdulsamad_rabiu,2025,700
abel_avellan,2025,1408
abhay_firodia,2015,1605
abhay_firodia,2016,1476
abhay_firodia,2017,1098
abhay_firodia,2018,1020
abhay_firodia,2019,1227
abhay_firodia,2020,1415
abhay_firodia,2021,1299
abhay_firodia,2022,1096
abhay_firodia,2023,1104
abhay_firodia,2024,734
abhay_firodia,2025,846
abhay_soi,2023,2259
abhay_soi,2024,1623
abhay_soi,2025,1462
abhay_vakil,2020,648
abhay_vakil,2021,622
abigail_bennett,2023,2405
abigail_bennett,2024,2545
abigail_bennett,2025,2790
abigail_johnson,2001,30
abigail_johnson,2002,29
abigail_johnson,2003,25
abigail_johnson,2004,31
abigail_johnson,2005,25
abigail_johnson,2006,28
abigail_johnson,2007,42
abigail_johnson,2008,43
abigail_johnson,2009,35
abigail_johnson,2010,48
abigail_johnson,2011,69
abigail_johnson,2012,85
abigail_johnson,2013,74
abigail_johnson,2014,50
abigail_johnson,2015,85
abigail_johnson,2016,65
abigail_johnson,2017,75
abigail_johnson,2018,83
abigail_johnson,2019,71
abigail_johnson,2020,124
abigail_johnson,2021,85
abigail_johnson,2022,75
abigail_johnson,2023,72
abigail_johnson,2024,58
abigail_johnson,2025,55
abilio_dos_santos_diniz,2001,312
abilio_dos_santos_diniz,2002,413
abilio_dos_santos_diniz,2004,437
abilio_dos_santos_diniz,2005,507
abilio_dos_santos_diniz,2006,486
abilio_dos_santos_diniz,2007,538
abilio_dos_santos_diniz,2008,605
abilio_dos_santos_diniz,2009,468
abilio_dos_santos_diniz,2010,316
abilio_dos_santos_diniz,2011,323
abilio_dos_santos_diniz,2012,304
abilio_dos_santos_diniz,2013,363
abilio_dos_santos_diniz,2014,609
abilio_dos_santos_diniz,2015,369
abilio_dos_santos_diniz,2016,477
abilio_dos_santos_diniz,2017,581
abilio_dos_santos_diniz,2018,652
abilio_dos_santos_diniz,2019,715
abilio_dos_santos_diniz,2020,908
abilio_dos_santos_diniz,2021,1205
abilio_dos_santos_diniz,2022,1163
abilio_dos_santos_diniz,2023,1272
achal_bakeri,2015,1712
achal_bakeri,2016,1577
