person,education_order,school,degree
abigail_johnson,1,Harvard Business School,Master of Business Administration
abigail_johnson,2,Hobart and William Smith,Bachelor of Arts/Science
adam_foroughi,1,"University of California, Berkeley",Bachelor of Arts/Science
adam_forste,1,Dartmouth College,Bachelor of Arts/Science
adam_neumann,1,City University of New York Baruch,
adarsh_hiremath,1,Harvard University,Drop Out
adebayo_ogunlesi,1,Harvard Business School,Master of Business Administration
adebayo_ogunlesi,2,Harvard Law School,JD
adebayo_ogunlesi,3,Oxford Univeristy,Bachelor of Arts
aerin_lauder,1,University of Pennsylvania,Bachelor of Arts/Science
alan_gerry,1,High School,Drop Out
alan_miller_1,1,College of William & Mary,Bachelor of Arts/Economics
alan_miller_1,2,The Wharton School of the University of Pennsylvania,Master of Business Administration
alan_trefler,1,Dartmouth College,Bachelor of Arts/Science
alan_zekelman,1,University of Rochester,Master of Science
alan_zekelman,2,University of Toronto,Bachelor of Commerce
alec_gores,1,Western Michigan University,Bachelor of Arts/Science
alejandro_santo_domingo,1,Harvard University,Bachelor of Arts/Science
alex_behring,1,Harvard University,Master of Business Administration
alex_shevchenko,1,University of Toronto,Master of Business Administration
alexander_karp,1,Haverford College,Bachelor of Arts/Science
alexander_karp,2,Stanford University,Doctor of Jurisprudence
alexandr_wang,1,Massachusetts Institute of Technology,Drop Out
alexis_le_quoc,1,Ecole Centrale Paris,Bachelor of Arts/Science
alfred_west_jr,1,Georgia Institute of Technology,Bachelor of Arts/Science
alfred_west_jr,2,"University of Pennsylvania, The Wharton School",Master of Business Administration
ali_ghodsi,1,KTH Royal Institute of Technology,Ph.D
ali_ghodsi,2,Mid Sweden University,Master of Business Administration
ali_ghodsi,3,Mid Sweden University,Master of Science in Engineering
alice_walton,1,Trinity University,Bachelor of Arts/Science
aman_sanger,1,Massachusetts Institute of Technology,Bachelor of Arts/Science
amos_hostetter_jr,1,Amherst College,Bachelor of Arts/Science
amos_hostetter_jr,2,Harvard University,Master of Business Administration
amy_adams_strunk,1,The University of Texas at Austin,Bachelor of Arts
amy_wyss,1,Skidmore College,Bachelor of Arts/Science
andreas_halvorsen,1,Stanford Graduate School of Business,Master of Business Administration
andreas_halvorsen,2,Williams College,Bachelor of Arts/Science
andreas_von_bechtolsheim,1,Carnegie Mellon University,Master of Science
andres_santo_domingo,1,Brown University,Bachelor of Arts/Science
andrew_beal,1,Baylor University,Drop Out
andrew_bialecki,1,Harvard University,Bachelor of Arts
andrew_karam,1,Tufts University,Bachelor of Arts/Economics
andrew_karam,2,Tufts University,Bachelor of Engineering
andrew_tisch,1,Cornell University,Bachelor of Arts/Science
andrew_tisch,2,Harvard Business School,Master of Business Administration
andy_fang,1,Stanford University,Bachelor of Arts/Science
andy_konwinski,1,"University of California, Berkeley",Ph.D
andy_konwinski,2,"University of Wisconsin, Madison",Bachelor of Science
aneel_bhusri,1,Brown University,Bachelor of Arts/Science
aneel_bhusri,2,Stanford Graduate School of Business,Master of Business Administration
anita_zucker,1,University of Florida,Bachelor of Arts/Science
anita_zucker,2,University of North Florida,Master of Arts
ankur_jain,1,The Wharton School at the University of Pennsylvania,Bachelor of Science
ann_walton_kroenke,1,Lincoln University,Registered Nurse
anne_dinning,1,New York University,Doctorate
anne_dinning,2,University of Washington,Bachelor of Arts/Science
anthony_pritzker,1,Dartmouth College,Bachelor of Arts/Science
anthony_wood,1,Texas A&M University,Bachelor of Science in Engineering
antonio_gracias,1,Georgetown School of Foreign Service,Master
antonio_gracias,2,University of Chicago Law School,JD
antony_ressler,1,Columbia Business School,Master of Business Administration
antony_ressler,2,Georgetown University,Bachelor of Arts/Science
aravind_srinivas,1,Indian Institute of Technology Madras,Bachelor of Technology
aravind_srinivas,2,Indian Institute of Technology Madras,Masters of Science in Technology
aravind_srinivas,3,"University of California, Berkeley",Ph.D
archie_aldis_emmerson,1,High School,Diploma
art_levinson,1,Princeton University,Doctorate
art_levinson,2,University of Washington,Bachelor of Science
arthur_blank,1,Babson College,Bachelor of Arts/Science
arthur_dantchik,1,SUNY Binghamton,Bachelor of Science
arthur_levine,1,Columbia Law School,JD
arthur_levine,2,UCLA,Bachelor of Arts/Science
arthur_levine,3,UCLA Anderson School of Management,Master of Business Administration
arturo_moreno,1,University of Arizona,Bachelor of Arts/Science
arvid_lunnemark,1,Massachusetts Institute of Technology,Bachelor of Arts/Science
assaf_rappaport,1,Technion,Master of Science
august_troendle,1,University of Maryland,Medical Doctor
austen_cargill_ii,1,Oregon State University,Doctorate
austen_cargill_ii,2,University of Minnesota,Bachelor of Arts/Science
austen_cargill_ii,3,University of Minnesota,Master of Science
b_wayne_hughes_jr,1,University of Southern California,Bachelor of Arts/Science
baiju_bhatt,1,Stanford University,Bachelor of Science
barbara_banke_1,1,UC Hastings,JD
barbara_banke_1,2,"University of California, Los Angeles",Bachelor of Arts/Science
barry_diller,1,"University of California, Los Angeles",Drop Out
barry_sternlicht,1,Brown University,Bachelor of Arts/Science
barry_sternlicht,2,Harvard Business School,Master of Business Administration
behdad_eghbali,1,"University of California, Berkeley",Bachelor of Business Administration
ben_ashkenazy,1,Adelphi University,Drop Out
ben_chestnut,1,Georgia Institute of Technology,Bachelor of Arts/Science
ben_silbermann,1,Yale University,Bachelor of Arts/Science
bennett_dorrance,1,University of Arizona,Bachelor of Arts/Science
bennett_rosenthal,1,University of Pennsylvania,Bachelor of Science
bennett_rosenthal,2,"University of Pennsylvania, Wharton School of Business",Master of Business Administration
benoit_dageville,1,Université de Paris VI,Bachelor of Science
benoit_dageville,2,Université de Paris VI,Master of Science
benoit_dageville,3,Université de Paris VI,Ph.D
bernard_saul_ii,1,University of Virginia,LLB
bernard_saul_ii,2,Villanova University,Bachelor of Arts/Science
bert_beveridge,1,University of Texas at Austin,Bachelor of Arts/Science
beyonce_knowles_carter,1,High School,Drop Out
bharat_desai,1,"Indian Institute of Technology, Bombay",Bachelor of Arts/Science
bharat_desai,2,"University of Michigan, Stephen M. Ross School of Business",Master of Business Administration
bill_austin,1,High School,High School Graduate
bill_cummings,1,Tufts University,Bachelor of Arts/Economics
bill_gates,1,Harvard University,Drop Out
bill_gross,1,Anderson School of Management,Master of Business Administration
bill_gross,2,Duke University,Bachelor of Arts/Science
bill_haslam,1,Emory University,Bachelor of Arts/Science
bob_muglia,1,University of Michigan,Bachelor of Science
bob_parsons,1,University of Baltimore,Bachelor of Arts/Science
bobby_murphy,1,Stanford University,Bachelor of Arts/Science
brad_jacobs,1,Brown University,Drop Out
brad_kelley,1,High School,Diploma
brad_kelley,2,Western Kentucky University,Drop Out
brad_keywell,1,University of Michigan,Bachelor of Arts/Science
brad_keywell,2,University of Michigan,Doctor of Jurisprudence
brendan_foody,1,Georgetown University,Drop Out
brett_adcock,1,University of Florida,Bachelor of Business Administration
brian_acton,1,Stanford University,Bachelor of Arts/Science
brian_armstrong,1,Rice University,Bachelor of Arts/Economics
brian_armstrong,2,Rice University,Master of Arts/Science
brian_chesky,1,Rhode Island School of Design,Bachelor of Arts/Science
brian_higgins,1,Villanova University,Bachelor of Arts/Science
brian_roberts,1,"University of Pennsylvania, The Wharton School",Bachelor of Arts/Science
bruce_beal_jr,1,Harvard University,Bachelor of Arts
bruce_karsh,1,Duke University,Bachelor of Arts/Science
bruce_karsh,2,University of Virginia,Doctor of Jurisprudence
bruce_kovner,1,Harvard University,Bachelor of Arts/Science
bruce_toll,1,University of Miami,Bachelor of Arts
bubba_cathy,1,Samford University,Bachelor of Arts/Science
c_dean_metropoulos,1,Babson College,Bachelor of Arts/Science
c_dean_metropoulos,2,Babson College,Master of Business Administration
cameron_winklevoss,1,Harvard University,Bachelor of Arts/Economics
carl_cook,1,Purdue University,Bachelor of Arts/Science
carl_cook,2,Tippie School of Management,Master of Business Administration
carl_icahn,1,New York University,Drop Out
carl_icahn,2,Princeton University,Bachelor of Arts/Science
carl_thoma,1,Oklahoma State University,Bachelor of Science
carl_thoma,2,Stanford Business School,Master of Business Administration
chad_richison,1,University of Central Oklahoma,Bachelor of Arts/Science
charles_b_johnson,1,Yale University,Bachelor of Arts/Science
charles_bronfman,1,McGill University,Bachelor of Arts/Science
charles_butt,1,"University of Pennsylvania, The Wharton School",Bachelor of Arts/Science
charles_ergen,1,University of Tennessee Knoxville,Bachelor of Arts/Science
charles_ergen,2,Wake Forest University School of Business,Master of Business Administration
charles_koch,1,Massachusetts Institute of Technology,Bachelor of Arts/Science
charles_koch,2,Massachusetts Institute of Technology,Master of Science
charles_liang,1,National Taiwan University,Bachelor of Science in Engineering
charles_liang,2,University Of Texas At Arlington,Master of Science in Engineering
charles_schwab,1,Stanford Graduate School of Business,Master of Business Administration
charles_schwab,2,Stanford University,Bachelor of Arts/Science
charles_simonyi,1,Stanford University,Doctorate
charles_simonyi,2,"University of California, Berkeley",Bachelor of Arts/Science
charles_zegar,1,Long Island University,Bachelor of Arts/Science
charles_zegar,2,New York University,Master of Science
charlotte_colket_weber,1,University of Paris,Bachelor of Arts/Science
chase_coleman_iii,1,Williams College,Bachelor of Arts/Science
chen_tei_fu,1,Brigham Young University,Drop Out
chen_tei_fu,2,Kaohsiung Medical University,Bachelor of Arts/Science
chris_larsen,1,San Francisco State University,Bachelor of Arts/Science
chris_larsen,2,Stanford Graduate School of Business,Master of Business Administration
chris_wanstrath,1,University of Cincinnati,Bachelor of Arts/Science
christian_chabot,1,Stanford University,Bachelor of Science
