person,self_made_type,birth_date,city,state,marital_status,number_of_children,birth_country,self_made_score,birth_city,birth_state,philanthropy_score
a_jayson_adair,self-made,1969-10-16,Dallas,Texas,Married,2.0,United States,,,,
abel_avellan,self-made,1971-02-01,Coral Gables,Florida,,,Venezuela,,,,
abigail_bennett,inherited,1980-12-27,Rochester,New York,Married,2.0,,,,,
abigail_johnson,inherited and growing,1961-12-19,,,Married,2.0,United States,4.0,Boston,Massachusetts,1.0
adam_foroughi,self-made,1980-05-07,Truckee,California,Married,,Iran,8.0,,,1.0
adam_forste,self-made,1978-01-01,Wilson,Wyoming,Married,,,,,,
adam_neumann,self-made,1979-04-01,Miami,Florida,Married,6.0,,,,,
adam_norwitt,self-made,1969-06-17,Ridgefield,Connecticut,,,,,,,
adarsh_hiremath,self-made,2003-03-27,San Francisco,California,Single,,United States,,Sunnyvale,California,
adebayo_ogunlesi,self-made,1953-12-20,New York,New York,Married,2.0,Nigeria,,,,
aerin_lauder,inherited,1970-04-23,New York,New York,Married,2.0,United States,4.0,,,1.0
alain_wertheimer,inherited,1948-08-28,New York,New York,Married,3.0,France,,,,
alan_gerry,self-made,1928-12-25,Liberty,New York,Married,3.0,,,,,
alan_miller_1,self-made,1937-08-17,Lower Merion,Pennsylvania,Married,3.0,United States,,Brooklyn,New York,
alan_trefler,self-made,1956-03-10,Brookline,Massachusetts,Married,,,8.0,,,1.0
alan_zekelman,inherited and growing,1962-10-01,Bloomfield Hills,Michigan,,,,,,,
albert_chao,self-made,1949-07-15,Houston,Texas,,,,7.0,,,1.0
albert_nahmad,self-made,1940-10-15,Coral Gables,Florida,Married,2.0,Panama,8.0,,,
alec_gores,self-made,1953-03-18,Beverly Hills,California,Married,6.0,Israel,9.0,,,1.0
alejandro_santo_domingo,inherited and growing,1977-02-13,New York,New York,Married,,United States,3.0,New York,New York,1.0
alex_behring,self-made,1967-02-20,Greenwich,Connecticut,Married,,Brazil,,,,
alex_shevchenko,self-made,1980-01-01,San Francisco,California,,,Ukraine,,,,
alexander_karp,self-made,1967-10-01,Lyman,New Hampshire,Single,,,8.0,,,1.0
alexandr_wang,self-made,1997-01-19,San Francisco,California,Single,,United States,,Los Alamos,New Mexico,
alexandra_daitch,inherited,1963-01-01,Old Lyme,Connecticut,Married,1.0,,1.0,,,
alexis_le_quoc,self-made,1974-11-14,New York,New York,Married,1.0,France,8.0,,,
alfred_west_jr,self-made,1942-12-07,Paoli,Pennsylvania,Married,3.0,,,,,
ali_ghodsi,self-made,1978-12-08,San Francisco,California,Married,,,,,,
alice_walton,inherited,1949-10-07,Fort Worth,Texas,Divorced,,United States,1.0,Newport,Arkansas,2.0
aman_sanger,self-made,2000-06-22,San Francisco,California,,,,,,,
amos_hostetter_jr,self-made,1937-01-12,Boston,Massachusetts,Married,3.0,United States,7.0,Boston,Massachusetts,5.0
amy_adams_strunk,inherited and growing,1955-09-29,Nashville,Tennessee,"Widowed, Remarried",3.0,United States,,Houston,,
amy_wyss,inherited,1971-01-01,Wilson,Wyoming,,,,2.0,,,2.0
andreas_halvorsen,self-made,1961-04-23,Darien,Connecticut,Married,3.0,Norway,,,,
andreas_von_bechtolsheim,self-made,1955-09-30,Palo Alto,California,Single,,Germany,,,,
andres_santo_domingo,inherited,1978-06-01,New York,New York,Married,2.0,United States,3.0,New York,New York,1.0
andrew_beal,self-made,1952-11-29,Dallas,Texas,Divorced,6.0,,8.0,,,1.0
andrew_bialecki,self-made,1985-10-01,Boston,Massachusetts,,,,,,,
andrew_cherng_1,self-made,1947-05-02,Las Vegas,Nevada,Married,3.0,China,9.0,,,1.0
andrew_karam,self-made,1982-02-12,Menlo Park,California,,,,7.0,,,1.0
andrew_macmillan,inherited,1987-10-01,Wellington,Florida,,,,,,,
