person,name,last_name,age,birth_year,gender,country,source,industry,title,image_uri,latest_year
a_jayson_adair,A. Jayson Adair,Adair,55.0,1970.0,Male,United States,Damaged cars,Automotive,,no-pic,2025
a_jerrold_perenchio,A. Jerrold Perenchio,Perenchio,92.0,1933.0,Male,United States,"television, Univision",Media & Entertainment,"Founder & Owner, Chartwell Leisure",,2017
abdul_aziz_al_ghurair,Abdul Aziz Al Ghurair,Al Ghurair,68.0,1957.0,Male,United Arab Emirates,banking,Finance,,,2012
abdul_majeed_alhokair,Abdul Majeed Alhokair,Alhokair,53.0,1972.0,Male,Saudi Arabia,"retail, real estate",Fashion & Retail,,no-pic,2017
abdul_rasyid,Abdul Rasyid,Abdul,65.0,1960.0,Male,Indonesia,"timber, palm oil",Manufacturing,,,2016
abdulla_al_futtaim,Abdulla Al Futtaim,Al Futtaim,85.0,1940.0,Male,United Arab Emirates,"Auto dealers, investments",Automotive,,,2025
abdulla_bin_ahmad_al_ghurair,Abdulla bin Ahmad Al Ghurair,Al Ghurair,96.0,1929.0,Male,United Arab Emirates,Diversified,Diversified,,,2025
abdullah_al_othaim,Abdullah Al Othaim,Al Othaim,68.0,1957.0,Male,Saudi Arabia,"Grocery stores, malls",Fashion & Retail,,no-pic,2025
abdullah_al_rajhi,Abdullah Al Rajhi,Al Rajhi,,,Male,Saudi Arabia,banking,Finance and Investments,,no-pic,2017
abdullah_amer_al_nahdi,Abdullah Amer Al Nahdi,Al Nahdi,64.0,1961.0,Male,Saudi Arabia,Pharmacies,Healthcare,,no-pic,2025
abdullah_bin_sulaiman_al_rajhi,Abdullah bin Sulaiman Al Rajhi,Al Rajhi,67.0,1958.0,Male,Saudi Arabia,Banking,Finance & Investments,,no-pic,2025
abdulsamad_rabiu,Abdulsamad Rabiu,Rabiu,64.0,1961.0,Male,Nigeria,"Cement, sugar",Diversified,,,2025
abel_avellan,Abel Avellan,Avellan,54.0,1971.0,Male,United States,telecoms,Telecom,,no-pic,2025
abhay_firodia,Abhay Firodia,Firodia,80.0,1945.0,Male,India,Automobiles,Automotive,,,2025
abhay_soi,Abhay Soi,Soi,51.0,1974.0,Male,India,Healthcare,Healthcare,,no-pic,2025
abhay_vakil,Abhay Vakil,Vakil,72.0,1953.0,Male,India,paints,Manufacturing,,,2021
abigail_bennett,Abigail Bennett,Bennett,44.0,1981.0,Female,United States,Liquor,Food & Beverage,,no-pic-female,2025
abigail_johnson,Abigail Johnson,Johnson,63.0,1962.0,Female,United States,Fidelity,Finance & Investments,"Chairman & CEO, Fidelity Investments",,2025
abilio_dos_santos_diniz,Abilio dos Santos Diniz,Diniz,86.0,1939.0,Male,Brazil,Retail,Fashion & Retail,,,2023
achal_bakeri,Achal Bakeri,Bakeri,63.0,1962.0,Male,India,air coolers,Manufacturing,,,2021
acharya_balkrishna,Acharya Balkrishna,Balkrishna,53.0,1972.0,Male,India,Consumer goods,Food & Beverage,,,2025
achmad_hamami,Achmad Hamami,Hamami,92.0,1933.0,Male,Indonesia,heavy equipment,Construction & Engineering,,,2016
adam_bowen,Adam Bowen,Bowen,47.0,1978.0,Male,United States,e-cigarettes,Manufacturing,"Chief Technology Officer, Juul Labs",no-pic,2019
adam_foroughi,Adam Foroughi,Foroughi,45.0,1980.0,Male,United States,"marketing software, mobile games",Technology,,no-pic,2025
adam_forste,Adam Forste,Forste,47.0,1978.0,Male,United States,Diversified,Diversified,,no-pic,2025
adam_kwok,Adam Kwok,Kwok,42.0,1983.0,Male,Hong Kong,Real estate,Real Estate,,no-pic,2025
adam_neumann,Adam Neumann,Neumann,46.0,1979.0,Male,Israel,WeWork,Real Estate,,,2025
adebayo_ogunlesi,Adebayo Ogunlesi,Ogunlesi,71.0,1954.0,Male,United States,Private Equity,Finance & Investments,,no-pic,2025
adi_godrej,Adi Godrej,Godrej,83.0,1942.0,Male,India,Consumer goods,Diversified,,,2025
adriaan_mol,Adriaan Mol,Mol,41.0,1984.0,Male,Netherlands,Fintech,Technology,,no-pic,2025
adrian_paval,Adrian Paval,Paval,56.0,1969.0,Male,Romania,Retail,Fashion & Retail,,no-pic,2025
aerin_lauder,Aerin Lauder,Lauder,55.0,1970.0,Female,United States,Estee Lauder,Fashion & Retail,,,2025
agnete_kirk_thinggaard,Agnete Kirk Thinggaard,Thinggaard,42.0,1983.0,Female,Denmark,Lego,Manufacturing,,no-pic-female,2025
agoes_projosasmito,Agoes Projosasmito,Projosasmito,69.0,1956.0,Male,Indonesia,"mining, investment",Metals & Mining,,no-pic,2025
agustin_coppel_luken,Agustín Coppel Luken,Coppel Luken,63.0,1962.0,Male,Mexico,Diversified,Fashion & Retail,,no-pic,2025
ahmed_afif_topbas,Ahmed Afif Topbas,Topbas,83.0,1942.0,Male,Turkey,Food Retail,Fashion & Retail,,no-pic,2025
ahmet_calik,Ahmet Calik,Calik,67.0,1958.0,Male,Turkey,"Energy, banking, construction",Diversified,,,2025
ahmet_nazif_zorlu,Ahmet Nazif Zorlu,Zorlu,78.0,1947.0,Male,Turkey,diversified,Diversified,,,2021
ahsen_ozokur,Ahsen Ozokur,Ozokur,72.0,1953.0,Female,Turkey,food manufacturing,Food and Beverage,,no-pic-female,2015
airat_shaimiev,Airat Shaimiev,Shaimiev,63.0,1962.0,Male,Russia,"Refinery, chemicals",Energy,,,2025
aiyawatt_srivaddhanaprabha,Aiyawatt Srivaddhanaprabha,Srivaddhanaprabha,37.0,1988.0,Male,Thailand,duty-free,Fashion & Retail,,no-pic,2020
ajay_jaisinghani,Ajay Jaisinghani,Jaisinghani,73.0,1952.0,Male,India,Wires and cables,Manufacturing,,no-pic,2025
ajay_kalsi,Ajay Kalsi,Kalsi,62.0,1963.0,Male,India,oil & gas,Energy,,,2018
ajay_parekh,Ajay Parekh,Parekh,68.0,1957.0,Male,India,Adhesives,Manufacturing,,no-pic,2025
ajay_piramal,Ajay Piramal,Piramal,69.0,1956.0,Male,India,Pharmaceuticals,Healthcare,,,2025
akio_nitori,Akio Nitori,Nitori,81.0,1944.0,Male,Japan,Home furnishings,Fashion & Retail,,,2025
akira_mori,Akira Mori,Mori,89.0,1936.0,Male,Japan,Real estate,Real Estate,,,2025
akshay_arora,Akshay Arora,Arora,62.0,1963.0,Male,India,specialty pharmaceuticals,Healthcare,,no-pic,2025
alain_bouchard,Alain Bouchard,Bouchard,76.0,1949.0,Male,Canada,Convinience stores,Fashion & Retail,"Chairman and CEO, Alimentation Couche Tard Inc. Cl A",,2025
alain_merieux,Alain Merieux,Merieux,87.0,1938.0,Male,France,Pharmaceuticals,Healthcare,,,2025
alain_taravella,Alain Taravella,Taravella,77.0,1948.0,Male,France,Real estate development,Real Estate,,,2025
alain_wertheimer,Alain Wertheimer,Wertheimer,76.0,1949.0,Male,France,Chanel,Fashion & Retail,,,2025
alan_auerbach,Alan Auerbach,Auerbach,53.0,1972.0,Male,United States,biotechnology,Medicine,,,2015
alan_casden,Alan Casden,Casden,77.0,1948.0,Male,United States,real estate,Real Estate,"CEO, Chairman & Founder, Casden Properties LLC",,2012
alan_gerry,Alan Gerry,Gerry,96.0,1929.0,Male,United States,Cable television,Media & Entertainment,,,2025
alan_howard,Alan Howard,Howard,61.0,1964.0,Male,United Kingdom,Hedge funds,Finance & Investments,"Founder, Brevan Howard Asset Management",,2025
alan_miller_1,Alan Miller,Miller,87.0,1938.0,Male,United States,Healthcare services,Healthcare,,no-pic,2025
alan_rydge,Alan Rydge,Rydge,70.0,1955.0,Male,Australia,entertainment,Media & Entertainment,,,2022
alan_trefler,Alan Trefler,Trefler,69.0,1956.0,Male,United States,Software,Technology,,no-pic,2025
alan_wilson,Alan Wilson,Wilson,84.0,1941.0,Male,Australia,Retailing,Fashion & Retail,,no-pic,2025
alan_zekelman,Alan Zekelman,Zekelman,62.0,1963.0,Male,Canada,Steel,Manufacturing,,no-pic,2025
albert_avdolyan,Albert Avdolyan,Avdolyan,54.0,1971.0,Male,Russia,"Oil, mining",Energy,,no-pic,2025
albert_berner,Albert Berner,Berner,87.0,1938.0,Male,Germany,fasteners,Manufacturing,,,2019
albert_blokker,Albert Blokker,Blokker,77.0,1948.0,Male,Belgium,retail,Retail,,no-pic,2014
albert_boehringer,Albert Boehringer,Boehringer,84.0,1941.0,Male,Germany,Pharmaceuticals,Healthcare,,no-pic,2025
albert_chao,Albert Chao,Chao,76.0,1949.0,Male,United States,"Chemicals, building products",Manufacturing,,no-pic,2025
albert_frere,Albert Frere,Frere,97.0,1928.0,Male,Belgium,investments,Finance and Investments,,,2018
albert_gubay,Albert Gubay,Gubay,95.0,1930.0,Male,United Kingdom,real estate,,,no-pic,2010
albert_nahmad,Albert Nahmad,Nahmad,84.0,1941.0,Male,United States,Air conditioning parts,Manufacturing,,no-pic,2025
albert_shigaboutdinov,Albert Shigaboutdinov,Shigaboutdinov,72.0,1953.0,Male,Russia,"Refinery, chemicals",Diversified,,,2025
