person,name,chinese_name,gender,birth_year,country,industry,company,headquarter,latest_year
a_jayson_adair,A Jayson Adair,A Jayson Adair,Male,1969.0,United States,Retail,Copart,USA,2025
a_krishnamoorthy,A Krishnamoorthy,A Krishnamoorthy,Male,1937.0,India,Automobile & Auto Components,Amalgamations,India,2025
abdulla_ahmed_al_ghurair,Abdulla Ahmed Al Ghurair,阿卜杜拉·艾哈迈德·古赖尔,Male,,United Arab Emirates,Financial Services,Mashreq Bank,UAE,2025
abdulla_al_futtaim,Abdulla Al Futtaim,阿卜杜拉·阿尔·富塔姆,Male,,United Arab Emirates,Retail,Al Futtaim,UAE,2025
abdullah_al_rajhi,Abdullah Al Rajhi,阿卜杜拉·拉吉,Male,,Saudi Arabia,Banking,Al Rajhi Banking And Investment,,2019
abdullah_bin_sulaiman_al_rajhi,Abdullah bin Sulaiman Al Rajhi,Sulaiman Al Rajhi,Male,1929.0,Saudi Arabia,Financial Services,Al Rajhi Banking & Investment,Saudi Arabia,2025
abdulsamad_rabiu,Abdulsamad Rabiu,阿卜杜勒萨玛德·拉比,Male,1960.0,Nigeria,Construction & Engineering,BUA,Nigeria,2025
abhay_soi,Abhay Soi,Abhay Soi,Male,1973.0,India,Healthcare,Radiant Life Care,India,2025
abhay_vakil,Abhay Vakil,阿比·瓦基尔,Male,,India,Chemicals,Asian Paints,India-Mumbai,2022
abhaykumar_firodia,Abhaykumar Firodia,阿比库玛·费罗迪亚,Male,,India,Automobile & Auto Components,Force Motors,India,2025
abigail_bennett,Abigail Bennett,Abigail Bennett,,,,Food & Beverages,Constellation Brands,USA,2025
abigail_johnson,Abigail Johnson,阿比盖尔·约翰逊,Female,1961.0,United States,Financial Services,Fidelity,USA,2025
abilio_diniz,Abilio Diniz,阿比里奥·迪尼兹,Male,,Brazil,Retail,Carrefour,Brazil-Sao Paulo,2023
achal_anil_bakeri,Achal Anil Bakeri & Family,,,,,Consumer Durables,Symphony,,2018
acharya_balakrishna,Acharya Balakrishna,阿查里亚·巴拉克拉希纳,Male,1972.0,India,FMCG,Patanjali Ayurved,,2020
acharya_balkrishna,Acharya Balkrishna,阿查里亚·巴拉克拉希纳,Male,,India,Consumer Goods,Patanjali Ayurved,India,2025
adam_foroughi,Adam Foroughi,Adam Foroughi,Male,1979.0,United States,Software & Services,AppLovin,USA,2025
adam_kwok,Adam Kwok & family,,,,,Real Estate,Sun Hung Kai,,2017
adam_kwok_kai_fai,Adam Kwok Kai-fai,郭基辉,Male,,Hong Kong,Real Estate,Sun Hung Kai,Hong Kong-Hong Kong,2025
adam_neuman,Adam Neuman,,,,,Real Estate,WeWork,,2018
adam_neumann,Adam Neumann,亚当·纽曼,Male,,United States,Real Estate,Investments,USA,2025
adani_vinodbhai_shantilal,Adani Vinodbhai Shantilal,,,,,Conglomerate,Adani Enterprises,,2018
adi_godrej,Adi Godrej,阿迪·戈德里,Male,,India,Industrial Products,Godrej,India,2025
adriaan_mol,Adriaan Mol,Adriaan Mol,Male,1984.0,Netherlands,Software & Services,Mollie,Netherlands,2025
adrian_paval,Adrian Paval,Adrian Paval,Male,1969.0,Romania,Retail,Dedeman,Romania,2025
aegos_projosasmito,Aegos Projosasmito,Aegos Projosasmito,Male,1955.0,Indonesia,Metals & Mining,Amman Mineral International,Indonesia,2025
aerin_lauder_zinterhofer,Aerin Lauder Zinterhofer,艾琳·劳德·津特霍夫,Female,1970.0,United States,Consumer Goods,Estee Lauder,USA,2025
agnete_kirk_thinggaard,Agnete Kirk Thinggaard,阿格尼特·科尔克·廷高,Female,1983.0,Denmark,Consumer Goods,Lego,Denmark,2025
agustin_coppel_luken,Agustín Coppel Luken,Agustín Coppel Luken,,,,Retail,Grupo Coppel,Mexico,2025
ahammed_m_p,Ahammed M P,Ahammed M P,,,,Consumer Goods,Malabar Gold,India,2025
ahmet_ahlatci,Ahmet Ahlatci,Ahmet Ahlatci,,,,Metals & Mining,Ahlatci Holding,Turkey,2025
ahmet_calik,Ahmet Calik,艾哈迈德·卡利克,Male,,Turkey,Construction & Engineering,Calik,Turkey,2025
ahmet_nazif_zorlu,Ahmet Nazif Zorlu,艾哈迈特·纳齐夫·祖鲁,Male,1944.0,Turkey,Consumer Goods,Zorlu,Turkey,2025
ahsen_ozokur,Ahsen Ozokur,,,,,Food & Beverages,Ulker Biskuvi,,2017
ai_lihua,Ai Lihua,艾立华,Male,1958.0,China,Semiconductors,Aishi,China-Yiyang,2023
ai_luming,Ai Luming,艾路明,Male,1957.0,China,Investments,Wuhan Dangdai,China-Wuhan,2022
aidan_barclay,Aidan Barclay,Aidan Barclay,Male,1956.0,United Kingdom,Retail,The Very Group,UK-London,2023
airat_shaimiev,Airat Shaimiev,Airat Shaimiev,Male,1963.0,Russia,Chemicals,TAIF Group,Russia,2025
aiyawatt_srivaddhanaprabha,Aiyawatt Srivaddhanaprabha,阿亚瓦特·斯里瓦塔那布拉帕,Male,1985.0,Thailand,Retail,King Power,Thailand,2025
ajay_balvantray_parekh,Ajay Balvantray Parekh,阿杰·巴万特里·帕雷克,Male,,India,Chemicals,Pidilite Industries,India,2025
ajay_banga,Ajay Banga,Ajay Banga,Male,1959.0,United States,Financial Services,Mastercard,USA-New York,2022
ajay_bhardwaj,Ajay Bhardwaj,Ajay Bhardwaj,,,,Pharmaceuticals,Anthem Biosciences,India-Bengaluru,2024
ajay_jaisinghani,Ajay Jaisinghani,Ajay Jaisinghani,Male,1952.0,India,Industrial Products,Polycab India,India,2025
ajay_kalsi,Ajay Kalsi,阿杰·卡尔西,Male,,India,Energy,Indus Gas,India,2025
ajay_piramal,Ajay Piramal,阿杰·皮拉马尔,Male,,India,Financial Services,Piramal Enterprise,India,2025
ajit_prabhu,Ajit Prabhu,Ajit Prabhu,Male,1953.0,Singapore,Software & Services,Quest Global,Singapore--,2024
akio_nitori,Akio Nitori,似鸟昭雄,Male,1944.0,Japan,Retail,Nitori,Japan,2025
akira_mori,Akira Mori,森章,Male,1936.0,Japan,Real Estate,Mori Trust,Japan,2025
akshay_bansarilal_arora,Akshay Bansarilal Arora,Akshay Bansarilal Arora,,,,Healthcare,Blue Jet Healthcare,India,2025
alain_bouchard,Alain Bouchard,阿兰·布查德,Male,,Canada,Retail,Alimentation Couche Tard,Canada,2025
alain_merieux,Alain Merieux,阿兰·梅里埃,Male,1938.0,France,Healthcare,Bio Merieux,France,2025
alain_taravella,Alain Taravella,艾兰·塔拉维拉,Male,,France,Real Estate,Altarea Cogedim,France,2025
alain_taravella_jacques_nicolet,Alain Taravella & Jacques Nicolet,,,,,Real Estate,Altarea Cogedim   ,,2018
alain_wertheimer,Alain Wertheimer,阿兰·维德摩尔,Male,1948.0,France,Consumer Goods,Chanel,France,2025
alan_b_miller,Alan B. Miller,Alan B. Miller,Male,1937.0,United States,Healthcare,Universal Health Services,USA,2025
alan_g_hassenfeld,Alan G Hassenfeld,Alan G Hassenfeld,Male,1949.0,United States,Consumer Goods,Hasbro,USA,2025
alan_g_rydge,Alan G Rydge,艾伦·里奇,Male,,Australia,Media & Entertainment,Event Hospitality & Entertainment,Australia,2025
alan_gerry,Alan Gerry,艾伦·格里,Male,1929.0,United States,Media & Entertainment,Cablevision,USA,2025
alan_howard,Alan Howard,艾伦·霍华德,Male,,Switzerland,Investments,Brevan Howard Asset Management,Switzerland,2025
alan_parker,Alan Parker,Alan Parker,Male,1940.0,Switzerland,Retail,DFS,UK,2025
alan_sugar,Alan Sugar,艾伦·休格,Male,,United Kingdom,Real Estate,Amshold,UK,2025
alan_trefler,Alan Trefler,艾伦·特弗勒,Male,1956.0,United States,Software & Services,Pegasystems,USA,2025
alan_zekelman,Alan Zekelman,Alan Zekelman,Male,1962.0,United States,Metals & Mining,Zekelman Industries,USA,2025
alannah_weston,Alannah Weston,Alannah Weston,Female,1972.0,United Kingdom,Retail,Primark,Ireland,2025
albert_berner,Albert Berner,阿尔伯特·伯纳,Male,,Germany,Industrial Products,Berner Group,Germany,2025
albert_chao,Albert Chao,赵元德,,,,Chemicals,Westlake Corporation,USA,2025
albert_frere,Albert Frere ,,,,,Investments ,CNP,,2018
albert_nahmad,Albert Nahmad,Albert Nahmad,,,,Retail,Watsco,USA,2025
albert_shigaboutdinov,Albert Shigaboutdinov,Albert Shigaboutdinov,Male,1953.0,Russia,Chemicals,TAIF Group,Russia,2025
albert_yeung,Albert Yeung,杨受成,Male,,Hong Kong,Real Estate,Emperor,China-Hong Kong,2023
alberto_alcocer,Alberto Alcocer,阿尔贝托·阿尔科塞,Male,,Spain,Financial Services,Banco Zaragozano,Spain,2025
alberto_bailleres_gonzalez,Alberto Bailleres Gonzalez,阿尔贝托·巴伊雷斯·冈萨雷斯,Male,1931.0,Mexico,Metals & Mining,Industrias Penoles,,2021
alberto_bailleres_gonzalez_family,Alberto Bailleres Gonzalez family,,Male,1932.0,,Mining,Industrias Penoles,,2013
alberto_bombassei,Alberto Bombassei,阿尔贝托·邦巴塞,Male,1940.0,Italy,Automobile & Auto Components,Brembo,Italy,2025
alberto_chiesi,Alberto Chiesi,阿尔贝托·基西,Male,,Italy,Healthcare,Chiesi Farmaceutici,Italy,2025
alberto_coppel_luken,Alberto Coppel Luken,Alberto Coppel Luken,,,,Retail,Grupo Coppel,Mexico,2025
alberto_cortina,Alberto Cortina,阿尔贝托·科尔蒂纳,Male,,Spain,Financial Services,Banco Zaragozano,Spain,2025
alberto_j_safra,Alberto J. Safra,Alberto J. Safra,Male,1980.0,Brazil,Financial Services,Safra,Brazil,2025
alberto_palatchi,Alberto Palatchi,Alberto Palatchi,Male,1950.0,Spain,Consumer Goods,Pronovias,Spain,2025
alberto_prada,Alberto Prada,阿尔贝托·普拉达,Male,,Italy,Consumer Goods,Prada,Italy,2025
alberto_roemmers,Alberto Roemmers,Alberto Roemmers,Male,1927.0,Argentina,Pharmaceuticals,Laboratorios Roemmers,Argentina-Buenos Aires,2022
alberto_siccardi,Alberto Siccardi ,Alberto Siccardi,Male,1945.0,Switzerland,Healthcare,Medacta,Switzerland,2025
albrecht_knauf,Albrecht Knauf,Albrecht Knauf,Male,1940.0,Germany,Construction & Engineering,Knauf Gips,Germany,2025
alceu_elias_feldmann,Alceu Elias Feldmann,Alceu Elias Feldmann,Male,1950.0,Brazil,Chemicals,Fertipar,Brazil,2025
aldo_bensadoun,Aldo Bensadoun,奥尔多·本萨杜恩,Male,,Canada,Retail,Aldo Shoes,Canada,2025
alec_gores,Alec Gores,亚历克·戈尔斯,Male,,United States,Financial Services,Gores,USA,2025
alejandro_bailleres_gual,Alejandro Bailleres gual,Alejandro Bailleres gual,Male,1960.0,Mexico,Financial Services,Grupo Nacional Provincial (Grupo Bal),Mexico,2025
alejandro_bulgheroni,Alejandro Bulgheroni,亚历杭德罗·布尔杰罗尼,Male,,Argentina,Energy,Bridas,Argentina,2025
alejandro_santo_domingo,Alejandro Santo Domingo,亚历杭德罗·桑托·多明戈,Male,1978.0,United States,Food & Beverages,SABMiller,UK,2025
alejandro_santo_domingo_davila,Alejandro Santo Domingo Davila ,,Male,1978.0,,Food & Beverages,Sab Miller,,2015
ales_zavoral,Ales Zavoral,Ales Zavoral,Male,1976.0,Czech Republic,Retail,Alza cz,Czech Republic,2025
alessandra_garavoglia,Alessandra Garavoglia,亚历山德拉·加拉沃里亚,Female,,Italy,Food & Beverages,Gruppo Campari,Italy,2025
alessandro_rosano,Alessandro Rosano,Alessandro Rosano,,,,Consumer Goods,HeyDude,USA,2025
alex_beard,Alex Beard,亚历克斯·比尔德,Male,,United Kingdom,Trading,Glencore,Switzerland,2025
alex_birkenstock,Alex Birkenstock,Alex Birkenstock,Male,1969.0,Germany,Consumer Goods,Birkenstock,Germany,2025
alex_c_lo,Alex C. Lo,罗智先,Male,,,Food & Beverages,Uni-President,Taiwan-Tainan,2025
alex_chesterman,Alex Chesterman,Alex Chesterman,Male,1970.0,United Kingdom,E-Commerce,Cazoo,UK-London,2022
alex_gerko,Alex Gerko,Alex Gerko,Male,1979.0,United Kingdom,Trading,XTX Markets,UK,2025
alex_shevchenko,Alex Shevchenko,Alex Shevchenko,Male,,Canada,Software & Services,Grammarly,USA,2025
alexander_abramov,Alexander Abramov,亚历山大·阿布拉莫夫,Male,,Russia,Metals & Mining,Evraz,UK,2025
alexander_dzhaparidze,Alexander Dzhaparidze,亚历山大·扎帕里兹,Male,,Russia,Energy,Eurasia Drilling,,2021
alexander_frolov,Alexander Frolov,亚历山大·弗洛洛夫,Male,1964.0,Russia,Metals & Mining,Evraz,UK,2025
alexander_karp,Alexander Karp,亚历山大·卡普,Male,,United States,Software & Services,Palantir Technologies,USA,2025
alexander_klyachin,Alexander Klyachin,Alexander Klyachin,Male,1968.0,Russia,Hospitality,Azimut,Russia,2025
alexander_lebedev,Alexander Lebedev,,,,,Investments,Aeroflot,,2018
alexander_machkevitch,Alexander Machkevitch,亚历山大·麦科维奇,Male,1953.0,Kazakhstan,Metals & Mining,Eurasian Resources,Luxembourg,2025
alexander_mamut,Alexander Mamut,亚历山大·马姆特,Male,1960.0,Russia,Investments,A&NN Capital Fund Management,Russia,2025
alexander_mikhalskiy,Alexander Mikhalskiy,Alexander Mikhalskiy,,,,Retail,Sportmaster,Russia,2025
alexander_nesis,Alexander Nesis,亚历山大·尼西斯,Male,,Russia,Metals & Mining,Polymetal,Russia-Moscow,2022
alexander_otto,Alexander Otto,Alexander Otto,Male,1968.0,Germany,Retail,Otto,Germany,2025
alexander_ponomarenko,Alexander Ponomarenko,亚历山大·波诺马连科,Male,,Russia,Aerospace & Defence,TPS Group Holding,Russia,2025
alexander_putilov,Alexander Putilov,Alexander Putilov,Male,1952.0,Russia,Energy,Eurasia Drilling,,2021
alexander_ramlie,Alexander Ramlie,Alexander Ramlie,Male,1972.0,Indonesia,Metals & Mining,Amman Mineral International,Indonesia,2025
alexander_rinke,Alexander Rinke,Alexander Rinke,,,,Software & Services,Celonis,USA/Germany,2025
alexander_rovt,Alexander Rovt,亚历山大·罗夫特,Male,,United States,Real Estate,IBE Trade,USA,2025
alexander_samwer,Alexander Samwer,亚历山大·桑维尔,Male,,Germany,Investments,Rocket Internet,Germany,2025
