person,ticker,cik
a_jayson_adair,CPRT,0000900075
abel_avellan,ASTS,0001780312
abigail_bennett,STZ,0000016918
adam_foroughi,APP,0001751008
adam_forste,LINE,0001868159
adam_norwitt,APH,0000820313
adebayo_ogunlesi,BLK,0002012383
aerin_lauder,EL,0001001250
alain_wertheimer,WMT,0000104169
alan_b_miller,UHS,0000352915
alan_gerry,WT,0000880631
alan_trefler,PEGA,0001013857
alan_zekelman,MASI,0000937556
albert_chao,WLK,0001262823
albert_nahmad,WSO,0000105016
alec_gores,AMBP,0001845097
alejandro_santo_domingo,BUD,0001668717
alex_behring,KHC,0001637459
alex_shevchenko,PLTR,0001321655
alexander_karp,PLTR,0001321655
alexis_le_quoc,DDOG,0001561550
alfred_west_jr,SEIC,0000350894
ali_ghodsi,BUD,0001668717
alice_walton,WMT,0000104169
amos_hostetter,T,0000732717
andreas_santo_domingo,BUD,0001668717
andrew_bialecki,KVYO,0001835830
andrew_cherng,EWBC,0001069157
andrew_karam,APP,0001751008
andrew_tisch,CNA,0000021175
andy_fang,DASH,0001792789
andy_jassy,AMZN,0001018724
andy_konwinski,SCVL,0000895447
andy_mills,MDLN,0002046386
andy_von_bechtolsheim,ANET,0001596532
aneel_bhusri,WDAY,0001327811
anita_zucker,AMS,0000744825
ann_walton_kroenke,WMT,0000104169
anne_dinning,OXY,0000797468
anthony_wood,ROKU,0001428439
antonio_gracias,TSLA,0001318605
antony_ressler,ARES,0001176948
aravind_srinivas,DNLI,0001714899
art_levinson,GOOGL,0001652044
arthur_blank,HD,0000354950
arthur_dantchik,GOOGL,0001652044
arturo_moreno,GOOGL,0001652044
arvid_lunnemark,ABBV,0001551152
assaf_rappaport,MSI,0000068505
august_troendle,MEDP,0001668397
avram_glazer,CNA,0000021175
b_wayne_hughes_jr,PSA,0001393311
baiju_bhatt,HOOD,0001783879
barbara_tyson,TSN,0000100493
barry_bentley,BSY,0001031308
barry_diller,IAC,0001800227
barry_sternlicht,STWD,0001465128
behdad_eghbali,SSNC,0001402436
ben_ashkenazy,TKO,0001973266
ben_chestnut,INTU,0000896878
ben_navarro,MDLN,0002046386
ben_silbermann,PINS,0001506293
bennet_rosenthal,ARES,0001176948
bennett_dorrance,CPB,0000016732
benoit_dageville,SNOW,0001640147
bernard_saul_ii,BFS,0000907254
bharat_desai,GSHD,0001726978
bill_gates,MSFT,0000789019
bill_gurley,BABA,0001577552
bill_haslam,RHP,0001040829
bob_iger,DIS,0001744489
bob_parsons,GDDY,0001609711
bobby_murphy,SNAP,0001564408
bom_suk_kim,CPNG,0001834584
brad_jacobs,QXO,0001236275
brad_kelley,AGEN,0001098972
brad_keywell,TEM,0001717115
brannin_mcbee,CRWV,0001769628
brett_adcock,ACHR,0001824502
brian_armstrong,COIN,0001679788
brian_chesky,ABNB,0001559720
brian_higgins,CWGL,0001562151
brian_roberts,CMCSA,0001166691
brian_venturo,CRWV,0001769628
bruce_beal_jr,BAC,0000070858
bruce_toll,TOL,0000794170
bryan_glazer,JPM,0000019617
byron_allen,TSLA,0001318605
c_dean_metropoulos,LAZRQ,0001758057
cameron_winklevoss,GEMI,0002055592
carl_icahn,IEP,0000813762
carl_thoma,BEN,0000038777
carson_brice,FCNCB,0000798941
caryn_seidmanbecker,YOU,0001856314
catherine_commisso,AMBP,0001845097
catherine_malone,CPB,0000016732
chad_richison,PAYC,0001590955
charles_cohen,APH,0000820313
charles_dolan,AMCX,0001514991
charles_johnson,BEN,0000038777
charles_liang,SMCI,0001375365
charles_schwab,SCHW,0000316709
charles_simonyi,MSFT,0000789019
charlie_mills,MDLN,0002046386
charlotte_colket_weber,CPB,0000016732
chen_tianqiao,GOOGL,0001652044
chris_larsen,XRP,0002039525
chris_wanstrath,MSFT,0000789019
christian_chabot,CRM,0001108524
christopher_olah,AAPL,0000320193
christopher_stolte,CRM,0001108524
christy_walton,WMT,0000104169
claire_bristow,FCNCB,0000798941
clay_bavor,T,0000732717
craig_mccaw,LUMN,0000018926
dagmar_dolby,DLB,0001308547
dan_kurzius,INTU,0000896878
dan_wilks,BATL,0001282648
daniel_d_aniello,CG,0001527166
daniel_dines,PATH,0001734722
daniel_gilbert,RKT,0001805284
daniel_hirschfeld,BKE,0000885245
daniel_loeb,SPNT,0001576018
daniel_pritzker,H,0001468174
daniel_ziff,RBLX,0001315098
daniela_amodei,BXP,0001037540
dannine_avara,EPD,0001061219
