time,conversion_rate
1963,6.415764507604361
1964,6.291313646274021
1965,6.103627666147502
1966,5.8930264365018745
1967,5.690071145436204
1968,5.402447412442617
1969,5.129313764610595
1970,4.839964989940337
1971,4.54853007691843
1972,4.2361869136891315
1973,3.7942475241181954
1974,3.3922588263927484
1975,3.109845450805952
1976,3.0498421155578153
1977,2.934512651024331
1978,2.7122974229275187
1979,2.4105708138553323
1980,2.159418407351562
1981,2.1454853731270545
1982,2.191295641309724
1983,2.2236050370264473
1984,2.1752540562958553
1985,2.110371653628217
1986,1.9850608446034157
1987,1.857920271925448
1988,1.798220623104091
1989,1.8477636864890365
1990,1.8761663309364986
1991,1.8323587608265
1992,1.7608580190424459
1993,1.7260640254520545
1994,1.6962666129658448
1995,1.6485004550487528
1996,1.6274654000081035
1997,1.6325954182904134
1998,1.6558126889978746
1999,1.623645859870658
2000,1.5726154406216435
2001,1.539823434051401
2002,1.5187825551804406
2003,1.4426983796694555
2004,1.3544139521605323
2005,1.3092831299336267
2006,1.2982527195269777
2007,1.2710799666801027
2008,1.2286837420674106
2009,1.2141550313348715
2010,1.213417923714077
2011,1.1948607189340763
2012,1.1757474857473091
2013,1.1578365101493138
2014,1.147072740209822
2015,1.1514029520854068
2016,1.1437920391673078
2017,1.123017959830806
2018,1.0737525561590266
2019,1.049688544640293
2020,1.039647867995033
2021,1.0
2022,0.945567967817285
2023,0.9211870712468837
2024,0.9046743987980685
2025,0.8782862945867413
